Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
30,"A Bhatelé, L Wesolowski, E Bohm…","Understanding application performance via micro-benchmarks on three large supercomputers: Intrepid, Ranger and Jaguar",2010,… Journal of High …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/1094342010370603?casa_token=p1FXi88mRgMAAAAA:MQuxk8dU_z-OLQd_KI55kxMnS_2WfynVTzLvVL4j9ZRJI7i2N9gK550Sce0rYt_IoWn9nUWK_U-OEA,"https://scholar.google.com/scholar?cites=14372526740959532445&as_sdt=2005&sciodt=0,5&hl=en",11,30,3,8,4,10,"The emergence of new parallel architectures presents new challenges for application developers. Supercomputers vary in processor speed, network topology, interconnect communication characteristics and memory subsystems. This paper presents a performance …"
29,"E Georganas, J González-Domínguez…",Communication avoiding and overlapping for numerical linear algebra,2012,SC'12: Proceedings …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6468500/,"https://scholar.google.com/scholar?cites=6918159492632914342&as_sdt=2005&sciodt=0,5&hl=en",12,29,3.63,10,3,8,"To efficiently scale dense linear algebra problems to future exascale systems, communication cost must be avoided or overlapped. Communication-avoiding 2.5 D algorithms improve scalability by reducing inter-processor data transfer volume at the cost of …"
26,"E Solomonik, M Besta, F Vella, T Hoefler",Scaling betweenness centrality using communication-efficient sparse matrix multiplication,2017,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3126908.3126971,"https://scholar.google.com/scholar?cites=6138989726819438145&as_sdt=2005&sciodt=0,5&hl=en",14,26,8.67,7,4,3,Betweenness centrality (BC) is a crucial graph problem that measures the significance of a vertex by the number of shortest paths leading through it. We propose Maximal Frontier Betweenness Centrality (MFBC): a succinct BC algorithm based on novel sparse matrix …
25,"M Besta, F Marending, E Solomonik…",Slimsell: A vectorizable graph representation for breadth-first search,2017,2017 IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7967093/,"https://scholar.google.com/scholar?cites=395561493242772214&as_sdt=2005&sciodt=0,5&hl=en",13,25,8.33,6,4,3,Vectorization and GPUs will profoundly change graph processing. Traditional graph algorithms tuned for 32-or 64-bit based memory accesses will be inefficient on architectures with 512-bit wide (or larger) instruction units that are already present in the Intel Knights …
23,"E Solomonik, E Carson, N Knight…","Trade-offs between synchronization, communication, and computation in parallel linear algebra computations",2017,ACM Transactions on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2897188,"https://scholar.google.com/scholar?cites=15010787892942994032&as_sdt=2005&sciodt=0,5&hl=en",15,23,7.67,6,4,3,"This article derives trade-offs between three basic costs of a parallel algorithm: synchronization, data movement, and computational cost. These trade-offs are lower bounds on the execution time of the algorithm that are independent of the number of processors but …"
13,"E Solomonik, J Hammond…",A preliminary analysis of Cyclops Tensor Framework,2012,"… Department, University of …",eecs.berkeley.edu,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2012/EECS-2012-29.pdf,"https://scholar.google.com/scholar?cites=3666270358820441693&as_sdt=2005&sciodt=0,5&hl=en",16,13,1.63,4,3,8,ABSTRACT Cyclops (cyclic-operations) Tensor Framework (CTF) 1 is a distributed library for tensor contractions. CTF aims to scale high-dimensional tensor contractions done in Coupled Cluster calculations on massively-parallel supercomputers. The framework …
13,"E Solomonik, T Hoefler",Sparse tensor algebra as a parallel programming model,2015,arXiv preprint arXiv:1512.00066,arxiv.org,https://arxiv.org/abs/1512.00066,"https://scholar.google.com/scholar?cites=8413145459833974772&as_sdt=2005&sciodt=0,5&hl=en",17,13,2.6,7,2,5,"Dense and sparse tensors allow the representation of most bulk data structures in computational science applications. We show that sparse tensor algebra can also be used to express many of the transformations on these datasets, especially those which are …"
13,"V Kale, E Solomonik",Parallel sorting pattern,2010,Proceedings of the 2010 Workshop on Parallel …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1953611.1953621,"https://scholar.google.com/scholar?cites=16485648759508245087&as_sdt=2005&sciodt=0,5&hl=en",18,13,1.3,7,2,10,ABSTRACT A large number of parallel applications contain a computationally intensive phase in which a large list of elements must be ordered based on some common attribute of the elements. How do we sort a sequence of elements on multiple processing units so as to …
13,"E Solomonik, G Ballard, J Demmel…",A communication-avoiding parallel algorithm for the symmetric eigenvalue problem,2017,Proceedings of the 29th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3087556.3087561,"https://scholar.google.com/scholar?cites=11336336242223227441&as_sdt=2005&sciodt=0,5&hl=en",19,13,4.33,3,4,3,"Many large-scale scientific computations require eigenvalue solvers in a scaling regime where efficiency is limited by data movement. We introduce a parallel algorithm for computing the eigenvalues of a dense symmetric matrix, which performs asymptotically less …"
12,E Solomonik,Provably efficient algorithms for numerical tensor algebra,2014,,escholarship.org,https://escholarship.org/uc/item/00b4r0mv,"https://scholar.google.com/scholar?cites=2847921249696585472&as_sdt=2005&sciodt=0,5&hl=en",20,12,2,12,1,6,This thesis targets the design of parallelizable algorithms and communication-efficient parallel schedules for numerical linear algebra as well as computations with higher-order tensors. Communication is a growing bottleneck in the execution of most algorithms on …
10,"E Solomonik, E Carson, N Knight, J Demmel","Tradeoffs between synchronization, communication, and work in parallel linear algebra computations",2014,,apps.dtic.mil,https://apps.dtic.mil/docs/citations/ADA604834,"https://scholar.google.com/scholar?cites=8445442768990173372&as_sdt=2005&sciodt=0,5&hl=en",21,10,1.67,3,4,6,"This paper derives tradeoffs between three basic costs of a parallel algorithm: synchronization, data movement, and computational cost. Our theoretical model counts the amount of work and data movement as a maximum of any execution path during the parallel …"
7,"E Solomonik, J Demmel, T Hoefler",Communication lower bounds for tensor contraction algorithms,2015,,research-collection.ethz.ch,https://www.research-collection.ethz.ch/handle/20.500.11850/96756,"https://scholar.google.com/scholar?cites=13107481460624319880&as_sdt=2005&sciodt=0,5&hl=en",22,7,1.4,2,3,5,"Contractions of nonsymmetric tensors are reducible to matrix multiplication, however,'fully symmetric contractions' in which the tensors are symmetric and the result is symmetrized can be done with fewer operations. The 'direct evaluation algorithm'for fully symmetric …"
7,"E Pednault, JA Gunnels, G Nannicini, L Horesh…",Breaking the 49-Qubit Barrier in the Simulation of Quantum Circuits; 2017,,arXiv preprint arXiv:1710.05867,,,"https://scholar.google.com/scholar?cites=8149461532636341363&as_sdt=2005&sciodt=0,5&hl=en",24,7,0,1,5,,
7,"K Hegde, H Asghari-Moghaddam, M Pellauer…",ExTensor: An Accelerator for Sparse Tensor Algebra,2019,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3352460.3358275,"https://scholar.google.com/scholar?cites=8538649040392533548&as_sdt=2005&sciodt=0,5&hl=en",35,7,7,2,4,1,"Generalized tensor algebra is a prime candidate for acceleration via customized ASICs. Modern tensors feature a wide range of data sparsity, with the density of non-zero elements ranging from 10-6% to 50%. This paper proposes a novel approach to accelerate tensor …"
6,"T Wicky, E Solomonik, T Hoefler",Communication-avoiding parallel algorithms for solving triangular systems of linear equations,2017,2017 IEEE International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7967158/,"https://scholar.google.com/scholar?cites=15850683539860043205&as_sdt=2005&sciodt=0,5&hl=en",23,6,2,2,3,3,"We present a new parallel algorithm for solving triangular systems with multiple right hand sides (TRSM). TRSM is used extensively in numerical linear algebra computations, both to solve triangular linear systems of equations as well as to compute factorizations with …"
6,"E Solomonik, JW Demmel",Contracting symmetric tensors using fewer multiplications,2015,,research-collection.ethz.ch,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/95498/eth-47174-01.pdf,"https://scholar.google.com/scholar?cites=7445191457417592458&as_sdt=2005&sciodt=0,5&hl=en",25,6,1.2,3,2,5,"We present more computationally-efficient algorithms for contracting symmetric tensors. Tensor contractions are reducible to matrix multiplication, but permutational symmetries of the data, which are expressed by the tensor representation, provide an opportunity for more …"
6,"E Solomonik, J Demmel",Matrix multiplication on multidimensional torus networks,2012,… Conference on High Performance Computing for …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-38718-0_21,"https://scholar.google.com/scholar?cites=17047031467444762735&as_sdt=2005&sciodt=0,5&hl=en",26,6,0.75,3,2,8,Blocked matrix multiplication algorithms such as Cannon's algorithm and SUMMA have a 2-dimensional communication structure. We introduce a generalized'Split-Dimensional'version of Cannon's algorithm (SD-Cannon) with higher-dimensional and bidirectional …
5,"M Besta, R Kanakagiri, H Mustafa, M Karasikov…",Communication-efficient jaccard similarity for high-performance distributed genome comparisons,2019,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1911.04200,"https://scholar.google.com/scholar?cites=13460716449142223958&as_sdt=2005&sciodt=0,5&hl=en",27,5,5,1,5,1,"Jaccard Similarity index is an important measure of the overlap of two sets, widely used in machine learning, computational genomics, information retrieval, and many other areas. However, little efforts have been made to develop a scalable and high-performance scheme …"
3,"L Ma, E Solomonik",Accelerating Alternating Least Squares for Tensor Decomposition by Pairwise Perturbation,2018,arXiv preprint arXiv:1811.10573,arxiv.org,https://arxiv.org/abs/1811.10573,"https://scholar.google.com/scholar?cites=3128826494918526706&as_sdt=2005&sciodt=0,5&hl=en",32,3,1.5,2,2,2,The alternating least squares algorithm for CP and Tucker decomposition is dominated in cost by the tensor contractions necessary to set up the quadratic optimization subproblems. We introduce a novel family of algorithms that uses perturbative corrections to the …
2,"E Solomonik, M Besta, F Vella…",Betweenness centrality is more parallelizable than dense matrix multiplication,2016,arXiv preprint arXiv …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/95f1/c3f397729c1f6ea2ec8ec5a8684af7376f99.pdf,"https://scholar.google.com/scholar?cites=9785577904956150238&as_sdt=2005&sciodt=0,5&hl=en",28,2,0.5,1,4,4,General infrastructure and scalable algorithms for sparse matrix multiplication enable succinct high-performance implementation of numerical methods and graph algorithms. We showcase the theoretical and practical quality of novel sparse matrix multiplication routines …
2,"V Harsh, L Kale, E Solomonik",Histogram sort with sampling,2019,The 31st ACM Symposium on Parallelism …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3323165.3323184,"https://scholar.google.com/scholar?cites=5144240068948382967&as_sdt=2005&sciodt=0,5&hl=en",29,2,2,1,3,1,"To minimize data movement, state-of-the-art parallel sorting algorithms use techniques based on sampling and histogramming to partition keys prior to redistribution. Sampling enables partitioning to be done using a representative subset of the keys, while …"
2,"E Georganas, J González-Domınguez, E Solomonik…","Juan Touri no, and Katherine Yelick. 2012. Communication avoiding and overlapping for numerical linear algebra",,Proceedings of the International …,,,"https://scholar.google.com/scholar?cites=2803663358569810033&as_sdt=2005&sciodt=0,5&hl=en",30,2,0,1,4,,
2,"LV Kalé, E Solomonik",Sorting.,2011,,,,"https://scholar.google.com/scholar?cites=7204161493226120502&as_sdt=2005&sciodt=0,5&hl=en",31,2,0.22,1,2,9,
2,"E Solomonik, J Demmel",2.5 D algorithms for parallel dense linear algebra,2012,Concurrency and …,solomon2.web.engr.illinois.edu,http://solomon2.web.engr.illinois.edu/talks/siam-ala-2012.pdf,"https://scholar.google.com/scholar?cites=3621115290333035205&as_sdt=2005&sciodt=0,5&hl=en",33,2,0.25,1,2,8,"Page 1. Introduction Matrix multiplication LU factorization QR factorization Conclusion 2.5D algorithms for parallel dense linear algebra Edgar Solomonik and James Demmel UC Berkeley June, 2012 Edgar Solomonik and James Demmel 2.5D algorithms 1/ 33 Page …"
2,E Solomonik,Cyclops Tensor Framework,2014,,solomonik.cs.illinois.edu,http://solomonik.cs.illinois.edu/talks/ctf-ExMatEx-mar-2014.pdf,"https://scholar.google.com/scholar?cites=11416680008867604439&as_sdt=2005&sciodt=0,5&hl=en",34,2,0.33,2,1,6,Cyclops (cyclic-operations) Tensor Framework (CTF) provides primitives for distributed memory tensor contractions takes advantage of thread (two-level) parallelism exposes a simple domain specific language for contractions allows for efficient tensor redistribution and …
2,"E Solomonik, J Demmel, T Hoefler",Communication Lower Bounds of Bilinear Algorithms for Symmetric Tensor Contractions,2017,arXiv preprint arXiv:1707.04618,arxiv.org,https://arxiv.org/abs/1707.04618,"https://scholar.google.com/scholar?cites=346797138041247087&as_sdt=2005&sciodt=0,5&hl=en",37,2,0.67,1,3,3,"Accurate numerical calculations of electronic structure are often dominated in cost by tensor contractions. These tensors are typically symmetric under interchange of modes, enabling reduced-size representations as well as a reduced computation cost. Direct evaluation …"
2,E Solomonik,Torsten Hoe er. 2015. Sparse Tensor Algebra as a Parallel Programming Model,2015,arXiv preprint arXiv:1512.00066,,,"https://scholar.google.com/scholar?cites=17140074146247425027&as_sdt=2005&sciodt=0,5&hl=en",38,2,0.4,2,1,5,
1,"E Solomonik, M Besta, F Vella, T Hoefler",Scaling Betweenness Centrality using Communication-E cient Sparse Matrix Multiplication,2017,,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/59fe/0f981f021cfa56ad2e402c4b8c917cc2178a.pdf,"https://scholar.google.com/scholar?cites=5960894199852563347&as_sdt=2005&sciodt=0,5&hl=en",36,1,0.33,0,4,3,"Page 1. Scaling Betweenness Centrality using Communication-E cient Sparse Matrix Multiplication Edgar Solomonik1,2, Maciej Besta1, Flavio Vella1, and Torsten Hoefler1 1 Department of Computer Science ETH Zurich 2Department of Computer Science University …"
1,"Z Zhang, X Wu, N Zhang, S Zhang…",Enabling Distributed-Memory Tensor Completion in Python using New Sparse Tensor Kernels,2019,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1910.02371,"https://scholar.google.com/scholar?cites=18091375681643189509&as_sdt=2005&sciodt=0,5&hl=en",51,1,1,0,5,1,"Tensor computations are increasingly prevalent numerical techniques in data science. However, innovation and deployment of methods on large sparse tensor datasets are made challenging by the difficulty of efficient implementation thereof. We provide a Python …"
1,"N Singh, L Ma, H Yang, E Solomonik",Comparison of Accuracy and Scalability of Gauss-Newton and Alternating Least Squares for CP Decomposition,2019,arXiv preprint arXiv:1910.12331,arxiv.org,https://arxiv.org/abs/1910.12331,"https://scholar.google.com/scholar?cites=5661260181142400351&as_sdt=2005&sciodt=0,5&hl=en",61,1,1,0,4,1,"Alternating least squares is the most widely used algorithm for CP tensor decomposition. However, alternating least squares may exhibit slow or no convergence, especially when high accuracy is required. An alternative approach to is to regard CP decomposition as a …"
0,"MT Heath, E Solomonik",CS 554/CSE 512: Parallel Numerical Algorithms Lecture Notes Chapter 1: Parallel Computing,2019,,solomonik.cs.illinois.edu,http://solomonik.cs.illinois.edu/teaching/cs554/notes/chapter_01.pdf,,39,0,0,0,2,1,Computational science has driven demands for large-scale machine resources since the early days of computing. Supercomputers—collections of machines connected by a network—are used to solve the most computationally expensive problems and drive the frontier …
0,"A Cohen, R Cytron, M Dubois, F Franchetti, M Garzarán…",Gagan Agrawal (Ohio State University) Srinivas Aluru (Georgia Tech) Rafael Asenjo (Universidad de Málaga) Michael Burke (Rice University),,ieeexplore.ieee.org,,https://ieeexplore.ieee.org/abstract/document/8091209/,,40,0,0,0,6,,Gagan Agrawal (Ohio State University) Srinivas Aluru (Georgia Tech) Rafael Asenjo (Universidad de Málaga) Michael Burke (Rice University) Albert Cohen (INRIA) Ron Cytron (Washington University) Michel Dubois (University of Southern California) Franz Franchetti (Carnegie Mellon …
0,E Solomonik,Efficient Algorithms for Tensor Contractions in Coupled Cluster,2014,,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.723.9736&rep=rep1&type=pdf,,41,0,0,0,1,6,Cyclops (cyclic operations) Tensor Framework (CTF) aims to support distributed-memory tensor contractions takes advantage of two-level parallelism via threading leverages distributed and local matrix multiplication algorithms is packaged as a library and uses only …
0,"M Driscoll, E Georganas, P Koanantakool, E Solomonik…",A Communication-Optimal N-Body Algorithm for Short-Range Interactions,,people.eecs.berkeley.edu,,http://people.eecs.berkeley.edu/~yelick/papers/ca-nbody-ipdps13.pdf,,42,0,0,0,5,,"We consider the problem of communication avoidance in computing interactions between a set of particles in scenarios with and without cutoff radius for interaction. Our strategy, which we show to be optimal in communication, divides the work in the iteration space rather than …"
0,"Y Zhang, E Solomonik",On Stability of Tensor Networks and Canonical Forms,2020,arXiv preprint arXiv:2001.01191,arxiv.org,https://arxiv.org/abs/2001.01191,,43,0,0,0,2,1,Tensor networks such as matrix product states (MPS) and projected entangled pair states (PEPS) are commonly used to approximate quantum systems. These networks are optimized in methods such as DMRG or evolved by local operators. We provide bounds on …
0,E Solomonik,1 MPQC: Massive Parallel Quantum Chemistry,,pdfs.semanticscholar.org,,https://pdfs.semanticscholar.org/f3aa/af0d33bb6b485a7e5854615c5d3282a3dcd5.pdf,,44,0,0,0,1,,"MPQC is a parallel software for ab initio quantum chemistry simulation, which computes properties of molecules using the laws of quantum mechanics. The application provides a number of approximations for solving the molecular Schrodinger equation. The software is …"
0,"C Ju, E Solomonik",Derivation and Analysis of Fast Bilinear Algorithms for Convolution,2019,arXiv preprint arXiv:1910.13367,arxiv.org,https://arxiv.org/abs/1910.13367,,45,0,0,0,2,1,"The prevalence of convolution in applications within signal processing, deep neural networks, and numerical solvers has motivated the development of numerous fast convolution algorithms. In many of these problems, convolution is performed on terabytes or …"
0,E Solomonik,Scalability and programming productivity for massively-parallel wavefunction methods,2018,ABSTRACTS OF PAPERS OF THE …,solomonik.cs.illinois.edu,http://solomonik.cs.illinois.edu/talks/acs-mar-2018.pdf,,46,0,0,0,1,2,"Page 1. Scalability and programming productivity for massively-parallel wavefunction methods Edgar Solomonik Department of Computer Science University of Illinois at Urbana-Champaign American Chemical Society Annual Meeting New Orleans, LA March 18, 2018 American …"
0,"AM Aji, US AMD, K Atasu, CHS Beamer…",Proceedings Chairs,,ieeexplore.ieee.org,,https://ieeexplore.ieee.org/abstract/document/8945073/,,47,0,0,0,5,,"Organizers Antonino Tumeo, PNNL, US Vito Giovanni Castellana, PNNL, US John Feo, PNNL, US … Proceedings Chairs Marco Minutoli, PNNL and Washington State University, US … Artifact Evaluation Chair Flavio Vella, Free University of Bozen, IT … Techincal Program …"
0,"GM Ballard, J Demmel, L Grigori, M Jacquelin…",Reconstructing householder vectors from TSQR.,2014,,osti.gov,https://www.osti.gov/servlets/purl/1315576,,48,0,0,0,5,6,Householder QR is not fast enough for tall-skinny matrices blocked algorithms can be bottlenecked by panel factorizations applying (aggregated) Householder vectors = matrix multiplication … Tall-Skinny QR (TSQR) [DGHL12] is faster for tall-skinny matrices applying the implicit orthogonal …
0,"E Solomonik, J Demmel",Fast Bilinear Algorithms for Symmetric Tensor Contractions,,Computational Methods in Applied Mathematics,degruyter.com,https://www.degruyter.com/downloadpdf/j/cmam.ahead-of-print/cmam-2019-0075/cmam-2019-0075.xml,,49,0,0,0,2,,"In matrix-vector multiplication, matrix symmetry does not permit a straightforward reduction in computational cost. More generally, in contractions of symmetric tensors, the symmetries are not preserved in the usual algebraic form of contraction algorithms. We introduce an …"
0,"E Solomonik, S LA",Minimizing communication in tensor contraction algorithms,2015,,solomonik.cs.illinois.edu,http://solomonik.cs.illinois.edu/talks/siamla_oct27_2015.pdf,,50,0,0,0,2,5,"Page 1. Minimizing communication in tensor contraction algorithms Edgar Solomonik ETH Zurich SIAM LA, Atlanta GA Oct 27, 2015 1 / 21 Edgar Solomonik Minimizing communication in tensor contraction algorithms Page 2. Introduction Symmetry in coupled cluster contractions Exploiting …"
0,"P Koanantakool, M Driscoll, E Georganas, E Solomonik…",A Communication-Optimal N-Body Algorithm for Direct Interactions,2013,,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/8477/89995888d3186142c7257125788e67f0accf.pdf,,52,0,0,0,5,7,"Page 1. A Communication-Optimal N-Body Algorithm for Direct Interactions* Penporn Koanantakool1, Michael Driscoll1, Evangelos Georganas1, Edgar Solomonik1, Katherine Yelick1,2 1UC Berkeley, 2LBNL DEGAS retreat June 3, 2013 *In proceedings of IPDPS 2013 …"
0,"E Solomonik, A Bhatele, J Demmel",Improving communication performance in dense linear algebra via topology aware collectives,2011,2011 International Conference …,computer.org,https://www.computer.org/csdl/proceedings-article/sc/2011/2063487/12OmNwcl7CU,,53,0,0,0,3,9,"Recent results have shown that topology aware mapping reduces network contention in communication-intensive kernels on massively parallel machines. We demonstrate that on mesh interconnects, topology aware mapping also allows for the utilization of highly-efficient …"
0,"MT Heath, E Solomonik",CS 554/CSE 512: Parallel Numerical Algorithms Lecture Notes Chapter 2: Parallel Algorithm Design and Analysis,2017,,,,,54,0,0,0,2,3,
0,"E Hutter, E Solomonik",Communication-avoiding Cholesky-QR2 for rectangular matrices,2019,2019 IEEE International Parallel and …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8820981/,,55,0,0,0,2,1,Scalable QR factorization algorithms for solving least squares and eigenvalue problems are critical given the increasing parallelism within modern machines. We introduce a more general parallelization of the CholeskyQR2 algorithm and show its effectiveness for a wide …
0,"F Vella, M Minutoli, N Ahmed, K Atasu, CHS Beamer…",Artifact Evaluation Chair,,ieeexplore.ieee.org,,https://ieeexplore.ieee.org/abstract/document/8638354/,,56,0,0,0,6,,"Organizers Antonino Tumeo, Pacific Northwest National Laboratory (antonino.tumeo@pnnl.gov ) Vito Giovanni Castellana, Pacific Northwest National Laboratory (vitoGiovanni.Castellana@pnnl.gov) John Feo, NIAC/Pacific Northwest National Laboratory …"
0,E Solomonik,Parallel Numerical Algorithms,,solomon2.web.engr.illinois.edu,,http://solomon2.web.engr.illinois.edu/teaching/cs554/slides/slides_14.pdf,,57,0,0,0,1,,"For instance, do k≥ k+ O (1) iterations of Lanczos and compute k Ritz vectors to estimate singular vectors V Left singular vectors can be obtained via AV= UD This method requires O (mnk) work for k singular vectors However, Θ (k) sparse-matrix-vector multiplications are …"
0,"J Demmel, GM Ballard, L Grigori, M Jacquelin…",Reconstructing Householder Vectors from Tall-Skinny QR.,2013,,osti.gov,https://www.osti.gov/servlets/purl/1116855,,58,0,0,0,5,7,"Abstract The Tall-Skinny QR (TSQR) algorithm is more communication efficient than the standard Householder algorithm for QR decomposition of matrices with many more rows than columns. However, TSQR produces a different representation of the orthogonal factor …"
0,"C Ju, E Solomonik",Bilinear algorithms for convolution,,,,,,59,0,0,0,2,,
0,"L Gan, V Getov, M Guo, A Kalyanaraman, C Morin…",Call for Nominations: IEEE CS TCHPC Early Career Researchers Award for Excellence in High Performance Computing–2019,,ieeecs-media.computer.org,,https://ieeecs-media.computer.org/media/marketing/cedge_digital/ce-jul19-final.pdf,,60,0,0,0,6,,"The IEEE Computer Society TCHPC Early Career Researchers Award for Excellence in High Performance Computing recognizes up to 3 individuals who have made outstanding, influential, and potentially long-lasting contributions in the field of high-performance …"
