Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
173,"ST Iqbal, BP Bailey",Investigating the effectiveness of mental workload as a predictor of opportune moments for interruption,2005,CHI'05 extended abstracts on Human factors in …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1056808.1056948,"https://scholar.google.com/scholar?cites=617628555866445617&as_sdt=2005&sciodt=0,5&hl=en",11,173,11.53,87,2,15,"This work investigates the use of workload-aligned task models for predicting opportune moments for interruption. From models for several tasks, we selected boundaries with the lowest (Best) and highest (Worst) mental workload. We compared effects of interrupting …"
165,"BP Bailey, JA Konstan, JV Carlis",Measuring the effects of interruptions on task performance in the user interface,2000,Smc 2000 conference …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/885940/,"https://scholar.google.com/scholar?cites=17232091266930833221&as_sdt=2005&sciodt=0,5&hl=en",12,165,8.25,55,3,20,"As users continue offloading more control and responsibility to the computer, coordinating the asynchronous interactions between the user and computer is becoming increasingly important. Without proper coordination, an application attempting to gain the user's attention …"
149,"ST Iqbal, BP Bailey",Leveraging characteristics of task structure to predict the cost of interruption,2006,Proceedings of the SIGCHI conference on Human …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1124772.1124882,"https://scholar.google.com/scholar?cites=3601524684647568263&as_sdt=2005&sciodt=0,5&hl=en",13,149,10.64,75,2,14,"ABSTRACT A challenge in building interruption reasoning systems is to compute an accurate cost of interruption (COI). Prior work has used interface events and other cues to predict COI, but ignore characteristics related to the structure of a task. This work …"
141,"JT Biehl, BP Bailey",ARIS: an interface for application relocation in an interactive space,2004,Proceedings of Graphics interface 2004,dl.acm.org,https://dl.acm.org/citation.cfm?id=1006072,"https://scholar.google.com/scholar?cites=6270197270659443570&as_sdt=2005&sciodt=0,5&hl=en",15,141,8.81,71,2,16,"By enabling users to better manage information across PDAs, laptops, graphics tablets, and large screens, the use of an interactive space could dramatically improve how users share information in collaborative work. To enable a user to better manage information in an …"
140,"BP Bailey, JA Konstan, JV Carlis",DEMAIS: designing multimedia applications with interactive storyboards,2001,Proceedings of the ninth ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/500141.500179,"https://scholar.google.com/scholar?cites=14118806187916542505&as_sdt=2005&sciodt=0,5&hl=en",14,140,7.37,47,3,19,"To create an innovative interactive multimedia application, a multimedia designer needs to rapidly explore numerous behavioral design ideas early in the design process, as creating innovative behavior is the cornerstone of creating innovative multimedia. Current tools and …"
139,"M Vakilian, N Chen, S Negara…","Use, disuse, and misuse of automated refactorings",2012,2012 34th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6227190/,"https://scholar.google.com/scholar?cites=1837293109275660478&as_sdt=2005&sciodt=0,5&hl=en",17,139,17.38,35,4,8,"Though refactoring tools have been available for more than a decade, research has shown that programmers underutilize such tools. However, little is known about why programmers do not take advantage of these tools. We have conducted a field study on programmers in …"
138,"BP Bailey, JA Konstan","Are informal tools better? Comparing DEMAIS, pencil and paper, and Authorware for early multimedia design",2003,Proceedings of the SIGCHI conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/642611.642666,"https://scholar.google.com/scholar?cites=18284599427445304681&as_sdt=2005&sciodt=0,5&hl=en",16,138,8.12,69,2,17,ABSTRACT DEMAIS is an informal design tool that we claim helps a multimedia designer explore and communicate temporal and interactive (behavioral) design ideas better than existing tools. This paper seeks to empirically validate our claim. We report on an evaluation …
127,"J Hailpern, E Hinterbichler, C Leppert, D Cook…",TEAM STORM: demonstrating an interaction model for working with multiple ideas during creative group work,2007,Proceedings of the 6th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1254960.1254987,"https://scholar.google.com/scholar?cites=12455276164381642263&as_sdt=2005&sciodt=0,5&hl=en",18,127,9.77,25,5,13,"Informal design tools can provide immense value during the creative stages of the design process, eg, by transforming sketches into interactive simulations. Two key limitations of informal and many other design tools are that they do not promote working with multiple …"
127,"JT Biehl, WT Baker, BP Bailey, DS Tan…",Impromptu: a new interaction framework for supporting collaboration in multiple display environments and its field evaluation for co-located software development,2008,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1357054.1357200,"https://scholar.google.com/scholar?cites=10672505529485144635&as_sdt=2005&sciodt=0,5&hl=en",19,127,10.58,25,5,12,"We present a new interaction framework for collaborating in multiple display environments (MDEs) and report results from a field study investigating its use in an authentic work setting. Our interaction framework, IMPROMPTU, allows users to share task information across …"
127,"ST Iqbal, BP Bailey",Oasis: A framework for linking notification delivery to the perceptual structure of goal-directed tasks,2010,ACM Transactions on Computer-Human Interaction …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1879831.1879833,"https://scholar.google.com/scholar?cites=14365641168688710395&as_sdt=2005&sciodt=0,5&hl=en",20,127,12.7,64,2,10,"A notification represents the proactive delivery of information to a user and reduces the need to visually scan or repeatedly check an external information source. At the same time, notifications often interrupt user tasks at inopportune moments, decreasing productivity and …"
120,"RS Sodhi, BR Jones, D Forsyth, BP Bailey…",BeThere: 3D mobile collaboration with spatial input,2013,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2470654.2470679,"https://scholar.google.com/scholar?cites=10079810540043158162&as_sdt=2005&sciodt=0,5&hl=en",21,120,17.14,24,5,7,"We present BeThere, a proof-of-concept system designed to explore 3D input for mobile collaborative interactions. With BeThere, we explore 3D gestures and spatial input which allow remote users to perform a variety of virtual interactions in a local user's physical …"
104,"K Luther, JL Tolentino, W Wu, A Pavel…","Structuring, aggregating, and evaluating crowdsourced design critique",2015,Proceedings of the 18th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2675133.2675283,"https://scholar.google.com/scholar?cites=6961493281043931242&as_sdt=2005&sciodt=0,5&hl=en",22,104,20.8,21,5,5,"Feedback is an important component of the design process, but gaining access to high-quality critique outside a classroom or firm is challenging. We present CrowdCrit, a web-based system that allows designers to receive design critiques from non-expert crowd …"
97,"ST Iqbal, BP Bailey",Understanding and developing models for detecting and differentiating breakpoints during interactive tasks,2007,Proceedings of the SIGCHI conference on Human …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1240624.1240732,"https://scholar.google.com/scholar?cites=16558270965768467218&as_sdt=2005&sciodt=0,5&hl=en",23,97,7.46,49,2,13,"The ability to detect and differentiate breakpoints during task execution is critical for enabling defer-to-breakpoint policies within interruption management. In this work, we examine the feasibility of building statistical models that can detect and differentiate three granularities …"
96,"BP Bailey, E Horvitz",What's your idea? A case study of a grassroots innovation pipeline within a large software company,2010,Proceedings of the SIGCHI Conference on Human …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1753326.1753641,"https://scholar.google.com/scholar?cites=7999566306636061404&as_sdt=2005&sciodt=0,5&hl=en",24,96,9.6,48,2,10,Establishing a grassroots innovation pipeline has come to the fore as strategy for nurturing innovation within large organizations. A key element of such pipelines is the use of an idea management system that enables and encourages community ideation on defined business …
78,"SR Herring, BR Jones, BP Bailey",Idea generation techniques among creative professionals,2009,2009 42nd Hawaii …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4755347/,"https://scholar.google.com/scholar?cites=1819896754452146211&as_sdt=2005&sciodt=0,5&hl=en",25,78,7.09,26,3,11,"The creative process has been a key topic research over the past century, but it wasn't until the last decade that creativity became a hot topic of research in the HCI. It is an important commodity to businesses and individuals alike spawning numerous research studies in …"
76,"DS Celerrnajer, MJ Boyer, BP Bailey…",Pericardiocentesis for symptomatic malignant pericardial effusion: a study of 36 patients,1991,Medical journal of …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.5694/j.1326-5377.1991.tb112840.x,"https://scholar.google.com/scholar?cites=10176253280056143674&as_sdt=2005&sciodt=0,5&hl=en",26,76,2.62,19,4,29,"We reviewed 36 cases of symptomatic malignant pericardial effusion managed with pericardiocentesis at our institution from 1982 to 1989. There were 13 men and 23 women, aged 49±12 years (range, 33–76 years). The commonest underlying tumours were lung …"
67,"BP Bailey, PD Adamczyk, TY Chang…",A framework for specifying and monitoring user tasks,2006,Computers in Human …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0747563205001068,"https://scholar.google.com/scholar?cites=11089012592201953625&as_sdt=2005&sciodt=0,5&hl=en",27,67,4.79,17,4,14,"Interrupting users engaged in tasks typically has negative effects on their task completion time, error rate, and affective state. Empirical research has shown that these negative effects can be mitigated by deferring interruptions until more opportune moments in a user's task …"
66,"ST Iqbal, BP Bailey",Using eye gaze patterns to identify user tasks,2004,The Grace Hopper Celebration of Women in …,interruptions.net,https://www.interruptions.net/literature/Iqbal-GHC04.pdf,"https://scholar.google.com/scholar?cites=13929980473627892854&as_sdt=2005&sciodt=0,5&hl=en",28,66,4.13,33,2,16,Users of today's desktop interface often suffer from interruption overload. Our research seeks to develop an attention manager that mitigates the disruptive effects of interruptions by identifying moments of low mental workload in a user's task sequence. To develop such a …
54,"PD Adamczyk, ST Iqbal, BP Bailey","A method, system, and tools for intelligent interruption management",2005,… of the 4th international workshop on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1122935.1122959,"https://scholar.google.com/scholar?cites=11702227050565983255&as_sdt=2005&sciodt=0,5&hl=en",29,54,3.6,18,3,15,"Interrupting users engaged in tasks typically has negative effects on their task completion time, error rate, and affective state. Empirical research has shown that these negative effects can be mitigated by deferring interruptions until more opportune moments in a user's task …"
52,"ES De Guzman, M Sharmin, BP Bailey",Should I call now? Understanding what context is considered when deciding whether to initiate remote communication via mobile devices,2007,Proceedings of Graphics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1268517.1268542,"https://scholar.google.com/scholar?cites=4902563885999784429&as_sdt=2005&sciodt=0,5&hl=en",30,52,4,17,3,13,"Requests for communication via mobile devices can be disruptive to the current task or social situation. To reduce the frequency of disruptive requests, one promising approach is to provide callers with cues of a receiver's context through an awareness display, allowing …"
49,"BR Jones, R Sodhi, RH Campbell…",Build your world and play in it: Interacting with surface particles on complex objects,2010,… symposium on mixed …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5643566/,"https://scholar.google.com/scholar?cites=451575253988170239&as_sdt=2005&sciodt=0,5&hl=en",31,49,4.9,12,4,10,"We explore interacting with everyday objects by representing content as interactive surface particles. Users can build their own physical world, map virtual content onto their physical construction and play directly with the surface using a stylus. A surface particle …"
47,"JT Biehl, PD Adamczyk, BP Bailey",Djogger: a mobile dynamic music device,2006,CHI'06 Extended Abstracts on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1125451.1125569,"https://scholar.google.com/scholar?cites=16504126518822047166&as_sdt=2005&sciodt=0,5&hl=en",32,47,3.36,16,3,14,Maintaining motivation during exercise can be difficult for people engaged in individual workout routines. A common method for maintaining pace and staying motivated is the introduction of a musical soundtrack. The pace of the music and selection of songs …
47,"A Xu, H Rao, SP Dow, BP Bailey",A classroom study of using crowd feedback in the iterative design process,2015,… of the 18th ACM conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2675133.2675140,"https://scholar.google.com/scholar?cites=601808626069496041&as_sdt=2005&sciodt=0,5&hl=en",33,47,9.4,12,4,5,"Crowd feedback systems offer designers an emerging approach for improving their designs, but there is little empirical evidence of the benefit of these systems. This paper reports the results of a study of using a crowd feedback system to iterate on visual designs. Users in an …"
45,"RE Su, BP Bailey",Put them where? towards guidelines for positioning large displays in interactive workspaces,2005,IFIP Conference on Human-Computer Interaction,Springer,https://link.springer.com/chapter/10.1007/11555261_29,"https://scholar.google.com/scholar?cites=17445795434096441146&as_sdt=2005&sciodt=0,5&hl=en",34,45,3,23,2,15,"Multiple large displays are being increasingly used in interactive workspaces to enhance individual and group work. However, little research has been conducted to determine whether various configurations of large displays impact users or their tasks differently. We …"
45,"M Sharmin, BP Bailey, C Coats…",Understanding knowledge management practices for early design activity and its implications for reuse,2009,Proceedings of the SIGCHI …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1518701.1519064,"https://scholar.google.com/scholar?cites=8828447514531664469&as_sdt=2005&sciodt=0,5&hl=en",35,45,4.09,11,4,11,"Prior knowledge is a critical resource for design, especially when designers are striving to generate new ideas for complex problems. Systems that improve access to relevant prior knowledge and promote reuse can improve design efficiency and outcomes. Unfortunately …"
43,"BP Bailey, LJ Gurak, JA Konstan",An examination of trust production in computer-mediated exchange,2001,… on Human Factors and the Web,researchgate.net,https://www.researchgate.net/profile/Laura_Gurak/publication/228734979_An_examination_of_trust_production_in_computer-mediated_exchange/links/53e276ef0cf2b9d0d8309cbd/An-examination-of-trust-production-in-computer-mediated-exchange.pdf,"https://scholar.google.com/scholar?cites=16182898549820766155&as_sdt=2005&sciodt=0,5&hl=en",36,43,2.26,14,3,19,"In this paper, we apply principles of trust derived mostly from interpersonal communication and human-computer interaction research to computer-mediated exchange (CME). We define key terms and synthesize relevant literature identifying four sources and seven …"
42,"BP Bailey, JA Konstan, JV Carlis",Supporting multimedia designers: Towards more effective design tools,2001,Proceedings of Multimedia …,orchid.cs.illinois.edu,https://orchid.cs.illinois.edu/publications/mmm-2001.pdf,"https://scholar.google.com/scholar?cites=797908779172917217&as_sdt=2005&sciodt=0,5&hl=en",37,42,2.21,14,3,19,"Current multimedia tools have fallen short of meeting the unique needs of a multimedia designer, presumably due to a misunderstanding of what those unique needs actually are. To better understand a designer's needs and practices, we interviewed (12) and surveyed …"
42,"EMT Lau, N Iyer, R Ilsar, BP Bailey, MR Adams…",Abnormal pulmonary artery stiffness in pulmonary arterial hypertension: in vivo study with intravascular ultrasound,2012,PLoS One,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3316557/,"https://scholar.google.com/scholar?cites=9277173272400329071&as_sdt=2005&sciodt=0,5&hl=en",38,42,5.25,7,6,8,Background There is increasing recognition that pulmonary artery stiffness is an important determinant of right ventricular (RV) afterload in pulmonary arterial hypertension (PAH). We used intravascular ultrasound (IVUS) to evaluate the mechanical properties of the elastic …
41,"CK Wong, SB Freedman, G Bautovich…",Mechanism and significance of precordial ST-segment depression during inferior wall acute myocardial infarction associated with severe narrowing of the dominant …,1993,American Journal of …,ajconline.org,https://www.ajconline.org/article/0002-9149(93)90567-V/fulltext,"https://scholar.google.com/scholar?cites=668050652310329019&as_sdt=2005&sciodt=0,5&hl=en",39,41,1.52,10,4,27,The mechanism and significance of precordial ST depression during inferior wall acute myocardial infarction (AMI) is debated. This study assessed the location and extent of arterial perfusion distribution responsible for this electrocardiographic finding. Intracoronary …
40,"RS Thompson, EM Rantanen, W Yurcik…",Command line or pretty lines? Comparing textual and visual interfaces for intrusion detection,2007,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1240624.1240807,"https://scholar.google.com/scholar?cites=16662908703255336132&as_sdt=2005&sciodt=0,5&hl=en",40,40,3.08,10,4,13,Intrusion detection (ID) is one of network security engineers' most important tasks. Textual (command-line) and visual interfaces are two common modalities used to support engineers in ID. We conducted a controlled experiment comparing a representative textual and visual …
40,"M Mizutani, SB Freedman, E Barns…",ST monitoring for myocardial ischemia during and after coronary angioplasty,1990,The American journal of …,Elsevier,https://www.sciencedirect.com/science/article/pii/000291499090691S,"https://scholar.google.com/scholar?cites=17064148148465702233&as_sdt=2005&sciodt=0,5&hl=en",41,40,1.33,10,4,30,"We performed 12-lead electrocardiographic monitoring in 97 patients during coronary angioplasty (PTCA) of a single vessel to correlate ischemic ST changes with clinical, angiographic and coronary hemodynamic variables and to determine the optimum lead or …"
39,"BP Bailey, LJ Gurak, JA Konstan",Trust in cyberspace,2003,Human factors and Web …,books.google.com,https://books.google.com/books?hl=en&lr=&id=sKvi5fVL-uAC&oi=fnd&pg=PA311&dq=%22brian+p+bailey%22&ots=j7ZLwcBCLl&sig=vaxQL5W2hb1Oxt-6ZOL3wpsmN9U,"https://scholar.google.com/scholar?cites=7443584673715200553&as_sdt=2005&sciodt=0,5&hl=en",43,39,2.29,13,3,17,Trust plays a critical role when a user assesses the believability of online information or when selecting an exchange site from which to purchase a product. Users will not believe or participate in a transaction with those whom they do not trust. When a design team develops …
38,"JT Biehl, BP Bailey",Improving interfaces for managing applications in multiple-device environments,2006,Proceedings of the working conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1133265.1133273,"https://scholar.google.com/scholar?cites=2737173860793151978&as_sdt=2005&sciodt=0,5&hl=en",42,38,2.71,19,2,14,"Productive collaboration in a multiple-device environment (MDE) requires an effective interface for efficiently managing applications among devices. Though many interfaces exist, there is little empirical understanding of how they affect collaboration. This paper reports …"
35,"BP Bailey, JT Biehl, DJ Cook, HE Metcalf",Adapting paper prototyping for designing user interfaces for multiple display environments,2008,Personal and Ubiquitous …,Springer,https://link.springer.com/article/10.1007/s00779-007-0147-2,"https://scholar.google.com/scholar?cites=12245896249482200161&as_sdt=2005&sciodt=0,5&hl=en",44,35,2.92,9,4,12,"A multiple display environment (MDE) networks personal and shared devices to form a virtual workspace, and designers are just beginning to grapple with the challenges of developing interfaces tailored for these environments. To develop effective interfaces for …"
34,"BP Bailey, SY Tettegah, TJ Bradley",Clover: Connecting technology and character education using personally-constructed animated vignettes,2006,Interacting with computers,academic.oup.com,https://academic.oup.com/iwc/article-abstract/18/4/793/913621,"https://scholar.google.com/scholar?cites=1133595044369589712&as_sdt=2005&sciodt=0,5&hl=en",45,34,2.43,11,3,14,Schools are increasingly integrating character education to facilitate improved moral thinking and pro social behavior among students. An effective method for delivering character education is problem solving moral and social situations represented visually as …
30,"BP Bailey, JA Konstan, JV Carlis",Adjusting windows: Balancing information awareness with intrusion,2000,… of the 6th Conference on Human …,interruptions.net,https://www.interruptions.net/literature/Bailey-HFWeb00.pdf,"https://scholar.google.com/scholar?cites=17067875663733278619&as_sdt=2005&sciodt=0,5&hl=en",46,30,1.5,10,3,20,"ABSTRACT The World Wide Web has quickly become a primary source of information for a variety of real-time topics, such as news headlines, stock market data, sports scores, and weather forecasts. However, achieving a high degree of awareness for this real-time …"
27,"DJ Cook, BP Bailey",Designers' use of paper and the implications for informal tools,2005,Proceedings of the 17th Australia conference on …,dl.acm.org,https://dl.acm.org/citation.cfm?id=1108402,"https://scholar.google.com/scholar?cites=8997104931897975718&as_sdt=2005&sciodt=0,5&hl=en",47,27,1.8,14,2,15,"While informal tools can benefit early design, their use requires that a designer surrender the richer affordances of physical tools. To better understand the importance of physical tools for early design, we conducted contextual interviews with twelve designers. We found …"
24,"SR Miller, BP Bailey, A Kirlik",Exploring the utility of Bayesian truth serum for assessing design knowledge,2014,Human–Computer Interaction,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/07370024.2013.870393?casa_token=eVcZllV6doQAAAAA:0miCR1RsZCNaOGX1NbKyIdKpcHD-lH9SPuMwOLBWGtYdlt8G30Owdw9zntqvLGc3G0y3MdH5nM6xfQ,"https://scholar.google.com/scholar?cites=8510903183771936526&as_sdt=2005&sciodt=0,5&hl=en",48,24,4,8,3,6,"Expanding and improving design knowledge is a vital part of higher education due to the growing demand for employees who can think both critically and creatively. However, developing effective methods for assessing what students have learned in design courses is …"
21,"MJ Flider, BP Bailey",An evaluation of techniques for controlling focus+ context screens,2004,Proceedings of Graphics Interface 2004,dl.acm.org,https://dl.acm.org/citation.cfm?id=1006075,"https://scholar.google.com/scholar?cites=1031399676461434729&as_sdt=2005&sciodt=0,5&hl=en",49,21,1.31,11,2,16,We evaluated four techniques for controlling focus+ context screens. We compared an egocentric versus exocentric View mixed with whether the display on the focus screen moves in the same (paper mapping) versus opposite (scroll mapping) direction as imput …
21,"TH Marwick, B Bastian, CF Hughes…",Mitral stenosis in the Maroteaux-Lamy syndrome: a treatable cause of dyspnoea.,1992,Postgraduate medical …,pmj.bmj.com,https://pmj.bmj.com/content/68/798/287.short,"https://scholar.google.com/scholar?cites=10582952497954851121&as_sdt=2005&sciodt=0,5&hl=en",50,21,0.75,5,4,28,The case is reported of a young woman with the Maroteaux-Lamy syndrome (mucopolysaccharidosis type VI) who presented with rapidly progressive dyspnoea due to mitral stenosis. Mitral valve replacement was performed and the appearance of the valve …
20,"A Xu, BP Bailey",A crowdsourcing model for receiving design critique,2011,CHI'11 Extended Abstracts on Human Factors in …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1979742.1979745,"https://scholar.google.com/scholar?cites=16403867911953817375&as_sdt=2005&sciodt=0,5&hl=en",51,20,2.22,10,2,9,"Designers in many domains are increasingly turning to online communities to receive critiques of early design ideas. However, members of these communities may not contribute an effective critique due to limited skills, motivation, or time, and therefore many critiques …"
19,"E Foong, SP Dow, BP Bailey, EM Gerber",Online feedback exchange: A framework for understanding the socio-psychological factors,2017,Proceedings of the 2017 CHI …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3025453.3025791,"https://scholar.google.com/scholar?cites=14907397214174078482&as_sdt=2005&sciodt=0,5&hl=en",52,19,6.33,5,4,3,"To meet the demand for authentic, timely, and affordable feedback, researchers have explored technologies to connect designers with feedback providers online. While researchers have implemented mechanisms to improve the content of feedback, most …"
17,"A Cannon, SB Freedman, BP Bailey…",ST-segment changes during transmural myocardial ischemia in chronic left bundle branch block,1989,The American journal of …,Elsevier,https://www.sciencedirect.com/science/article/pii/0002914989908862,"https://scholar.google.com/scholar?cites=12661327063558424900&as_sdt=2005&sciodt=0,5&hl=en",53,17,0.55,4,4,31,"The electrocardiographic diagnosis of acute myocardial infarction is difficult in the presence of left bundle branch block (BBB). The accuracy of electrocardiographic criteria derived from studies using either creatine kinase estimation, 1–5 autopsy findings 2–4 or thallium-201 …"
17,"BP Bailey, CW Busbey, ST Iqbal",TAPRAV: An interactive analysis tool for exploring workload aligned to models of task execution,2007,Interacting with Computers,academic.oup.com,https://academic.oup.com/iwc/article-abstract/19/3/314/798288,"https://scholar.google.com/scholar?cites=3150421006353241925&as_sdt=2005&sciodt=0,5&hl=en",54,17,1.31,6,3,13,"Pupillary response is a valid indicator of mental workload and is being increasingly leveraged to identify lower cost moments for interruption, evaluate complex interfaces, and develop further understanding of psychological processes. Existing tools are not sufficient …"
16,"BN Smith, A Xu, BP Bailey",Improving interaction models for generating and managing alternative ideas during early design work,2010,Proceedings of Graphics Interface 2010,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.699.8873&rep=rep1&type=pdf,"https://scholar.google.com/scholar?cites=4081658285332525902&as_sdt=2005&sciodt=0,5&hl=en",55,16,1.6,5,3,10,"ABSTRACT A principle of early design work is to generate and manage multiple ideas, as this fosters creative insight. As computer tools are being increasingly used for early design work, it is critical to understand how their interaction models affect idea management. This …"
