Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
67,"T Bergstrom, K Karahalios, JC Hart",Isochords: visualizing structure in music,2007,Proceedings of Graphics Interface …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1268517.1268565,"https://scholar.google.com/scholar?cites=13742528110494267197&as_sdt=2005&sciodt=0,5&hl=en",19,67,5.15,22,3,13,"Isochords is a visualization of music that aids in the classification of musical structure. The Isochords visualization highlights the consonant intervals between notes and common chords in music. It conveys information about interval quality, chord quality, and the chord …"
67,"T Siddiqui, A Kim, J Lee, K Karahalios…",Effortless data exploration with zenvisage: an expressive and interactive visual analytics system,2016,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1604.03583,"https://scholar.google.com/scholar?cites=4010477327441600510&as_sdt=2005&sciodt=0,5&hl=en",20,67,16.75,13,5,4,"Data visualization is by far the most commonly used mechanism to explore data, especially by novice data analysts and data scientists. And yet, current visual analytics tools are rather limited in their ability to guide data scientists to interesting or desired visualizations: the …"
60,"C Sandvig, K Hamilton, K Karahalios…","Automation, algorithms, and politics| when the algorithm itself is a racist: Diagnosing ethical harm in the basic components of software",2016,International Journal of …,ijoc.org,http://ijoc.org/index.php/ijoc/article/view/6182,"https://scholar.google.com/scholar?cites=1119962199119027022&as_sdt=2005&sciodt=0,5&hl=en",23,60,15,15,4,4,"Computer algorithms organize and select information across a wide range of applications and industries, from search results to social media. Abuses of power by Internet platforms have led to calls for algorithm transparency and regulation. Algorithms have a particularly …"
59,"J Hailpern, N Jitkoff, A Warr, K Karahalios…",YouPivot: improving recall with contextual search,2011,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1978942.1979165,"https://scholar.google.com/scholar?cites=1994320955394150796&as_sdt=2005&sciodt=0,5&hl=en",21,59,6.56,12,5,9,"According to cognitive science literature, human memory is predicated on contextual cues (eg, room, music) in the environment. During recall tasks, we associate information/activities/objects with contextual cues. However, computer systems do not leverage our natural …"
57,"T Bergstrom, K Karahalios",Seeing more: visualizing audio cues,2007,IFIP Conference on Human-Computer …,Springer,https://link.springer.com/chapter/10.1007/978-3-540-74800-7_3,"https://scholar.google.com/scholar?cites=18183002786748566046&as_sdt=2005&sciodt=0,5&hl=en",22,57,4.38,29,2,13,"Using audio visualization, we seek to demonstrate how natural interaction is augmented with the addition of interaction history. Our Conversation Clock visualization captures and represents audio in a persistent and meaningful representation to provide social cues not …"
52,"E Gilbert, K Karahalios",CodeSaw: A social visualization of distributed software development,2007,IFIP Conference on Human-Computer Interaction,Springer,https://link.springer.com/chapter/10.1007/978-3-540-74800-7_25,"https://scholar.google.com/scholar?cites=13467477247434759593&as_sdt=2005&sciodt=0,5&hl=en",24,52,4,26,2,13,"We present CodeSaw, a social visualization of distributed software development. CodeSaw visualizes a distributed software community from two important and independent perspectives: code repositories and project communication. By bringing together both …"
48,"M Eslami, SR Krishna Kumaran, C Sandvig…",Communicating algorithmic process in online behavioral advertising,2018,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3173574.3174006,"https://scholar.google.com/scholar?cites=9144441409294918050&as_sdt=2005&sciodt=0,5&hl=en",27,48,24,12,4,2,"Advertisers develop algorithms to select the most relevant advertisements for users. However, the opacity of these algorithms, along with their potential for violating user privacy, has decreased user trust and preference in behavioral advertising. To mitigate this …"
47,"J Hailpern, K Karahalios, J Halle",Creating a spoken impact: encouraging vocalization through audio visual feedback in children with ASD,2009,… of the SIGCHI conference on human …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1518701.1518774,"https://scholar.google.com/scholar?cites=13034421647780546252&as_sdt=2005&sciodt=0,5&hl=en",26,47,4.27,16,3,11,One hallmark difficulty of children with Autism Spectrum Disorder (ASD) centers on communication and speech. Research into computer visualizations of voice has been shown to influence conversational patterns and allow users to reflect upon their speech. In …
46,"T Bergstrom, K Karahalios",Conversation clusters: grouping conversation topics through human-computer dialog,2009,Proceedings of the SIGCHI Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1518701.1519060,"https://scholar.google.com/scholar?cites=13256635001269041884&as_sdt=2005&sciodt=0,5&hl=en",25,46,4.18,23,2,11,"Conversation Clusters explores the use of visualization to highlight salient moments of live conversation while archiving a meeting. Cheaper storage and easy access to recording devices allows extensive archival. However, as the size of the archive grows, retrieving the …"
40,"N Bos, K Karahalios, M Musgrove-Chávez…","Research ethics in the facebook era: privacy, anonymity, and oversight",2009,CHI'09 extended …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1520340.1520402,"https://scholar.google.com/scholar?cites=14254685371081858669&as_sdt=2005&sciodt=0,5&hl=en",28,40,3.64,10,4,11,"Ethical standards for human subjects research have not kept up with new research paradigms. Several research areas are particularly problematic for the CHI community. Online social research is testing the boundaries of public observation, third-party disclosure …"
40,"JC Hou, Q Wang, BK AlShebli, L Ball…","Pas: A wireless-enabled, sensor-integrated personal assistance system for independent and assisted living",2007,2007 Joint Workshop …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4438165/,"https://scholar.google.com/scholar?cites=11553267317968157234&as_sdt=2005&sciodt=0,5&hl=en",29,40,3.08,8,5,13,"Advances in networking, sensors, and embedded devices have made it feasible to monitor and provide medical and other assistance to people in their homes. Aging populations will benefit from reduced costs and improved healthcare through assisted living based on these …"
35,"KG Karahalios, K Dobson",Chit chat club: bridging virtual and physical space for social interaction,2005,CHI'05 extended abstracts on Human factors …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1056808.1057066,"https://scholar.google.com/scholar?cites=2431932609552403740&as_sdt=2005&sciodt=0,5&hl=en",30,35,2.33,18,2,15,"In this work, we create an audio-video link via an interactive sculpture to facilitate casual, sociable communication between two remote spaces. This communication installation was designed to blend the benefits of online interaction such as low risk interaction, lower …"
34,"E Gilbert, K Karahalios",Using social visualization to motivate social production,2009,IEEE Transactions on Multimedia,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4802372/,"https://scholar.google.com/scholar?cites=12162423834342409201&as_sdt=2005&sciodt=0,5&hl=en",31,34,3.09,17,2,11,"In this paper we argue that social visualization can motivate contributors to social production projects, such as Wikipedia and open source development. As evidence, we present CodeSaw, a social visualization of open source software development that we studied with …"
31,"T Karahalios, K Karahalios",Social mirrors as social signals: transforming audio into graphics,2009,IEEE computer graphics and …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5210069/,"https://scholar.google.com/scholar?cites=13117936566641687718&as_sdt=2005&sciodt=0,5&hl=en",32,31,2.82,16,2,11,"A social mirror is a specific type of visualization for group interaction. Three examples of social mirrors emphasize different motivations for visualizing vocal conversation: the power of visualization to influence conversation in real time, the addition of anonymous input into …"
31,"S Rahman, M Aliakbarpour, HK Kong, E Blais…","I've seen"" enough"" incrementally improving visualizations to support rapid decision making",2017,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.14778/3137628.3137637,"https://scholar.google.com/scholar?cites=9103800823752112611&as_sdt=2005&sciodt=0,5&hl=en",33,31,10.33,6,5,3,"Data visualization is an effective mechanism for identifying trends, insights, and anomalies in data. On large datasets, however, generating visualizations can take a long time, delaying the extraction of insights, hampering decision making, and reducing exploration time. One …"
30,"M Eslami, A Aleyasen, K Karahalios…",Feedvis: A path for exploring news feed curation algorithms,2015,Proceedings of the 18th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2685553.2702690,"https://scholar.google.com/scholar?cites=8766783980749374681&as_sdt=2005&sciodt=0,5&hl=en",34,30,6,8,4,5,"Social media feeds, personalized search results and recommendations are examples of algorithmically curated content in our daily digital Life. While the algorithms that curated this content have great power to shape users' experiences, they are mostly hidden behind the …"
30,"F Jahanbakhsh, WT Fu, K Karahalios…",You Want Me to Work with Who? Stakeholder Perceptions of Automated Team Formation in Project-based Courses,2017,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3025453.3026011,"https://scholar.google.com/scholar?cites=6584711694547581783&as_sdt=2005&sciodt=0,5&hl=en",36,30,10,8,4,3,"Instructors are increasingly using algorithmic tools for team formation, yet little is known about how these tools are applied or how students and instructors perceive their use. We studied a representative team formation tool (CATME) in eight project-based courses. An …"
29,"K Vaccaro, S Shivakumar, Z Ding…",The elements of fashion style,2016,Proceedings of the 29th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2984511.2984573,"https://scholar.google.com/scholar?cites=15935121117299189004&as_sdt=2005&sciodt=0,5&hl=en",38,29,7.25,7,4,4,"The outfits people wear contain latent fashion concepts capturing styles, seasons, events, and environments. Fashion theorists have proposed that these concepts are shaped by design elements such as color, material, and silhouette. A dress may be"" bohemian"" …"
28,"C Sandvig, K Hamilton…",An algorithm audit,2014,"… , DC: New America …",www-personal.umich.edu,http://www-personal.umich.edu/~csandvig/research/An%20Algorithm%20Audit.pdf,"https://scholar.google.com/scholar?cites=9248061727905871001&as_sdt=2005&sciodt=0,5&hl=en",40,28,4.67,9,3,6,"When it is time to buy a used car, many consumers turn to the advice of a trusted third-party like the Consumers Union, publisher of Consumer Reports. While we may not know anything about how cars work, Consumer Reports operates a test track where automotive …"
28,"JG Kim, HK Kong, K Karahalios, WT Fu…",The power of collective endorsements: credibility factors in medical crowdfunding campaigns,2016,Proceedings of the 2016 …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2858036.2858289,"https://scholar.google.com/scholar?cites=17438037435447044484&as_sdt=2005&sciodt=0,5&hl=en",46,28,7,6,5,4,Traditional medical fundraising charities have been relying on third-party watchdogs and carefully crafting their reputation over time to signal their credibility to potential donors. As medical fundraising campaigns migrate to online platforms in the form of crowdfunding …
27,"M Eslami, K Vaccaro, K Karahalios…",“Be careful; things can be worse than they appear”: Understanding Biased Algorithms and Users' Behavior around Them in Rating Platforms,2017,Eleventh international aaai …,aaai.org,https://www.aaai.org/ocs/index.php/ICWSM/ICWSM17/paper/viewPaper/15697,"https://scholar.google.com/scholar?cites=14526867628618659429&as_sdt=2005&sciodt=0,5&hl=en",37,27,9,7,4,3,Awareness of bias in algorithms is growing among scholars and users of algorithmic systems. But what can we observe about how users discover and behave around such biases? We used a cross-platform audit technique that analyzed online ratings of 803 hotels …
27,"J Hailpern, K Karahalios, L DeThorne…",Vocsyl: Visualizing syllable production for children with ASD and speech delays,2010,Proceedings of the 12th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1878803.1878879,"https://scholar.google.com/scholar?cites=2986775352162331318&as_sdt=2005&sciodt=0,5&hl=en",43,27,2.7,7,4,10,"Communication disorders occur across the lifespan and encompass a wide range of conditions that interfere with individuals' abilities to hear (eg, hearing loss), speak (eg, voice disorders; motor speech disorders), and/or use language (eg, specific language impairment; …"
26,"KG Karahalios, FB Viégas","Social visualization: exploring text, audio, and video interaction",2006,CHI'06 Extended Abstracts on Human …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1125451.1125758,"https://scholar.google.com/scholar?cites=13259923072811270145&as_sdt=2005&sciodt=0,5&hl=en",35,26,1.86,13,2,14,"In this workshop, we address the importance and uses of social visualizations. In particular, we explore visualizations of text, audio, and visual interaction data to uncover social connections and interaction patterns in online and physical spaces. We stress the need to …"
26,"A Kalra, K Karahalios",TextTone: expressing emotion through text,2005,IFIP Conference on Human-Computer Interaction,Springer,https://link.springer.com/chapter/10.1007/11555261_81,"https://scholar.google.com/scholar?cites=13257263563408428904&as_sdt=2005&sciodt=0,5&hl=en",39,26,1.73,13,2,15,"An increasingly large part of online communication is inherently social in nature. This social interaction is limited by the modalities of online communication, which do not convey tone or emotion well. Although some solutions have evolved or have been proposed, they are …"
26,"J Hailpern, A Harris, R La Botz, B Birman…",Designing visualizations to facilitate multisyllabic speech with children with autism and speech delays,2012,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2317956.2317977,"https://scholar.google.com/scholar?cites=7935198246989185513&as_sdt=2005&sciodt=0,5&hl=en",42,26,3.25,5,5,8,"The ability of children to combine syllables represents an important developmental milestone. This ability is often delayed or impaired in a variety of clinical groups, including children with autism spectrum disorders (ASD) and speech delays (SPD). Prior work has …"
26,"T Bergstrom, A Harris, K Karahalios",Encouraging initiative in the classroom with anonymous feedback,2011,IFIP Conference on Human …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-23774-4_49,"https://scholar.google.com/scholar?cites=13442697540565165281&as_sdt=2005&sciodt=0,5&hl=en",45,26,2.89,9,3,9,"Inspiring and maintaining student participation in large classes can be a difficult task. Students benefit from an active experience as it helps them better understand the course material. However, it's easy to stay silent. Opportunities to participate in conversation allow …"
25,"J Hailpern, M Danilevsky, A Harris…",ACES: promoting empathy towards aphasia through language distortion emulation software,2011,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1978942.1979029,"https://scholar.google.com/scholar?cites=14508679782163361170&as_sdt=2005&sciodt=0,5&hl=en",41,25,2.78,6,4,9,"Individuals with aphasia, an acquired communication disorder, constantly struggle against a world that does not understand them. This lack of empathy and understanding negatively impacts their quality of life. While aphasic individuals may appear to have lost cognitive …"
24,"T Bergstrom, K Karahalios",Conversation votes: enabling anonymous cues,2007,CHI'07 Extended Abstracts on Human …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1240866.1240994,"https://scholar.google.com/scholar?cites=2316339605828437980&as_sdt=2005&sciodt=0,5&hl=en",44,24,1.85,12,2,13,"In this work we describe Conversation Votes, a visualization to create new backchannels in conversation and augment collocated interaction. We expand the idea of a social mirror, a reflection of interaction, to incorporate direct user feedback in the form of anonymous voting …"
21,"J Hailpern, K Karahalios, J Halle, L Dethorne…",A3: Hci coding guideline for research using video annotation to assess behavior of nonverbal subjects with computer-based intervention,2009,ACM Transactions on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1530064.1530066,"https://scholar.google.com/scholar?cites=14872868371397316917&as_sdt=2005&sciodt=0,5&hl=en",47,21,1.91,4,5,11,"HCI studies assessing nonverbal individuals (especially those who do not communicate through traditional linguistic means: spoken, written, or sign) are a daunting undertaking. Without the use of directed tasks, interviews, questionnaires, or question-answer sessions …"
21,"G Soeller, K Karahalios, C Sandvig…",Mapwatch: Detecting and monitoring international border personalization on online maps,2016,Proceedings of the 25th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2872427.2883016,"https://scholar.google.com/scholar?cites=11077281375910481976&as_sdt=2005&sciodt=0,5&hl=en",50,21,5.25,5,4,4,"Maps have long played a crucial role in enabling people to conceptualize and navigate the world around them. However, maps also encode the world-views of their creators. Disputed international borders are one example of this: governments may mandate that cartographers …"
20,"R Shiftehfar, M Golparvar-Fard…",The application of visualization for construction emission monitoring,2010,… 2010: Innovation for …,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/41109(373)140,"https://scholar.google.com/scholar?cites=16277144310835884543&as_sdt=2005&sciodt=0,5&hl=en",48,20,2,7,3,10,"Excessive amount of human-made Green House Gas (GHG) emission in recent years has caused a major global warming problem; yet in the past two decades or so, their adversarial effects are better sensed and reported. The construction industry and its related activities are …"
19,"NV Spirin, J He, M Develin, KG Karahalios…",People search within an online social network: Large scale analysis of facebook graph search query logs,2014,Proceedings of the 23rd …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2661829.2661967,"https://scholar.google.com/scholar?cites=3426705855556588576&as_sdt=2005&sciodt=0,5&hl=en",49,19,3.17,4,5,6,"Popular online social networks (OSN) generate hundreds of terabytes of new data per day and connect millions of users. To help users cope with the immense scale and influx of new information, OSNs provide a search functionality. However, most of the search engines in …"
18,"K Karahalios, T Bergstrom",Visualizing audio in group table conversation,2006,First IEEE International Workshop …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1579204/,"https://scholar.google.com/scholar?cites=12210844315111868600&as_sdt=2005&sciodt=0,5&hl=en",51,18,1.29,9,2,14,"In this paper, we create social visualizations of aural group conversation. These visualizations are tailored to a table setting. Examples of such settings are a family sitting about a table eating dinner or colleagues sitting about a table in a meeting. The form of the …"
18,"K Vaccaro, D Huang, M Eslami, C Sandvig…",The illusion of control: Placebo effects of control settings,2018,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3173574.3173590,"https://scholar.google.com/scholar?cites=4678829611719254692&as_sdt=2005&sciodt=0,5&hl=en",67,18,9,4,5,2,"Algorithmic prioritization is a growing focus for social media users. Control settings are one way for users to adjust the prioritization of their news feeds, but they prioritize feed content in a way that can be difficult to judge objectively. In this work, we study how users engage with …"
17,"S Dey, B Duff, K Karahalios, WT Fu",The art and science of persuasion: not all crowdfunding campaign videos are the same,2017,… of the 2017 ACM Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2998181.2998229,"https://scholar.google.com/scholar?cites=1773199743204776870&as_sdt=2005&sciodt=0,5&hl=en",52,17,5.67,4,4,3,"To successfully raise money using crowdfunding, it is important for a campaign to communicate ideas or products effectively to the potential backers. One of the lesser explored but powerful components of a crowdfunding campaign is the campaign video. To …"
17,"J Donath, K Karahalios, F Viégas",Visiphone,2000,Proc. Int. Conf. on Auditory Display,,,"https://scholar.google.com/scholar?cites=12874901086247547936&as_sdt=2005&sciodt=0,5&hl=en",53,17,0.85,6,3,20,
17,"B Davis, K Karahalios",Telelogs: a social communication space for urban environments,2005,Proceedings of the 7th international conference …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1085777.1085817,"https://scholar.google.com/scholar?cites=1764853622575699931&as_sdt=2005&sciodt=0,5&hl=en",54,17,1.13,9,2,15,"This paper presents a novel idea for a system known as Telelogs. Utilizing the ubiquity of mobile devices, Telelogs functions as a service by which individuals in an urban environment can establish a better sense of community awareness. In addition, this system …"
16,"M Eslami, A Aleyasen, RZ Moghaddam…","Friend grouping algorithms for online social networks: Preference, bias, and implications",2014,… Conference on Social …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-13734-6_3,"https://scholar.google.com/scholar?cites=13730394274223334025&as_sdt=2005&sciodt=0,5&hl=en",56,16,2.67,4,4,6,"Managing friendship relationships in social media is challenging due to the growing number of people in online social networks (OSNs). To deal with this challenge, OSNs' users may rely on manually grouping friends with personally meaningful labels. However, manual …"
15,"JK Donath, K Karahalios","Vi gas, F. 1999,'Visualizing Conversation'",1999,Journal of Computer Mediated Communication,,,"https://scholar.google.com/scholar?cites=14356285439404982017&as_sdt=2005&sciodt=0,5&hl=en",55,15,0.71,8,2,21,
