Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
71,"Q Wang, WU Hassan, A Bates, C Gunter","Fear and Logging in the Internet of Things",2018,"Network and Distributed …","par.nsf.gov","https://par.nsf.gov/biblio/10047686","https://scholar.google.com/scholar?cites=18265665255266810816&as_sdt=2005&sciodt=0,5&hl=en",14,"2020-05-04 20:29:50","","","","",,,,,71,35.50,18,4,2,"As the Internet of Things (IoT) continues to proliferate, diagnosing incorrect behavior within increasinglyautomated homes becomes considerably more difficult. Devices and apps may be chained together in long sequences of triggeraction rules to the point that from an …"
70,"A Bates, K Butler, A Haeberlen…","Let SDN be your eyes: Secure forensics in data center networks",2014,"Proceedings of the …","security.cs.georgetown.edu","https://security.cs.georgetown.edu/~msherr/papers/forensics-sent2014.pdf","https://scholar.google.com/scholar?cites=7441236440067410041&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-05-04 20:29:50","PDF","","","",,,,,70,11.67,18,4,6,"Discovering the causes of incorrect behavior in large networks is often difficult. This difficulty is compounded when some machines in the network are compromised, since these compromised machines may use deception or tamper with data to frustrate forensic analysis …"
68,"AJ Bates, JP Sadler, AP Fowles","Condition-dependent dispersal of a patchily distributed riparian ground beetle in response to disturbance",2006,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-006-0508-y","https://scholar.google.com/scholar?cites=11125307540464455568&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-05-04 20:29:50","","","","",,,,,68,4.86,23,3,14,"In common with many habitat elements of riverine landscapes, exposed riverine sediments (ERS) are highly disturbed, naturally patchy and regularly distributed, whose specialists are strongly adapted to flood disturbance and loss of habitat due to succession. Investigations of …"
68,"A Bates, B Mood, M Valafar, K Butler","Towards secure provenance-based access control in cloud environments",2013,"… of the third ACM conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2435349.2435389","https://scholar.google.com/scholar?cites=4186867412802668907&as_sdt=2005&sciodt=0,5&hl=en",13,"2020-05-04 20:29:50","","","","",,,,,68,9.71,17,4,7,"As organizations become increasingly reliant on cloud computing for servicing their data storage requirements, the need to govern access control at finer granularities becomes particularly important. This challenge is increased by the lack of policy supporting data …"
61,"J Sadler, A Bates, J Hale, P James","Bringing cities alive: the importance of urban green spaces for people and biodiversity",2010,"Urban Ecology. Cambridge …","books.google.com","https://books.google.com/books?hl=en&lr=&id=Vp6_VAZaXwAC&oi=fnd&pg=PA230&dq=%22adam+bates%22&ots=aew4IaLJpH&sig=Y9jEFDebBETyFj9Do994OeisUGw","https://scholar.google.com/scholar?cites=15753719487158784228&as_sdt=2005&sciodt=0,5&hl=en",15,"2020-05-04 20:29:50","","","","",,,,,61,6.10,15,4,10,"It is estimated that the number of urban areas with over a million people will grow by over 40% by 2015 (Crane & Kinzig 2005). To accommodate this rapidly increasing population and to reduce the deleterious impact of global sprawling cities (European Environment …"
53,"DJ Tian, A Bates, K Butler","Defending against malicious USB firmware with GoodUSB",2015,"Proceedings of the 31st Annual Computer …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2818000.2818040","https://scholar.google.com/scholar?cites=4180789378129169716&as_sdt=2005&sciodt=0,5&hl=en",16,"2020-05-04 20:29:50","","","","",,,,,53,10.60,18,3,5,"ABSTRACT USB attacks are becoming more sophisticated. Rather than using USB devices solely as a delivery mechanism for host-side exploits, attackers are targeting the USB stack itself, embedding malicious code in device firmware to covertly request additional USB …"
49,"S Chen, M Bagdasarian, MG Kaufman…","Mutational analysis of the ompA promoter from Flavobacterium johnsoniae",2007,"Journal of …","Am Soc Microbiol","https://jb.asm.org/content/189/14/5108.short","https://scholar.google.com/scholar?cites=5068333668012816349&as_sdt=2005&sciodt=0,5&hl=en",17,"2020-05-04 20:29:50","","","","",,,,,49,3.77,12,4,13,"Sequences that mediate the initiation of transcription in Flavobacterium species are not well known. The majority of identified Flavobacterium promoter elements show homology to those of other members of the phylum Bacteroidetes, but not of proteobacteria, and they …"
48,"AJ Bates, JP Sadler, RB Greswell, R Mackay","Effects of recycled aggregate growth substrate on green roof vegetation development: A six year experiment",2015,"Landscape and Urban …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0169204614002709","https://scholar.google.com/scholar?cites=1394056016415056114&as_sdt=2005&sciodt=0,5&hl=en",18,"2020-05-04 20:29:50","","","","",,,,,48,9.60,12,4,5,"Green roofs have the potential to address several of the environmental problems associated with urbanisation, and can be used as mitigation for habitats lost at ground level. Brown roofs (a type of green roof) can be used to mitigate for the loss of brownfield habitat, but the …"
48,"AJ Gartland, S Li, J McNevin, GD Tomaras…","Analysis of HLA A* 02 association with vaccine efficacy in the RV144 HIV-1 vaccine trial",2014,"Journal of …","Am Soc Microbiol","https://jvi.asm.org/content/88/15/8242.short","https://scholar.google.com/scholar?cites=11235801096796009760&as_sdt=2005&sciodt=0,5&hl=en",19,"2020-05-04 20:29:50","HTML","","","",,,,,48,8.00,10,5,6,"The RV144 HIV-1 vaccine trial demonstrated partial efficacy of 31% against HIV-1 infection. Studies into possible correlates of protection found that antibodies specific to the V1 and V2 (V1/V2) region of envelope correlated inversely with infection risk and that viruses isolated …"
48,"A De Palma, S Abrahamczyk, MA Aizen, M Albrecht…","Predicting bee community responses to land-use changes: Effects of geographic and taxonomic biases",2016,"Scientific Reports","nature.com","https://www.nature.com/articles/srep31153","https://scholar.google.com/scholar?cites=3636165120609170220&as_sdt=2005&sciodt=0,5&hl=en",20,"2020-05-04 20:29:50","HTML","","","",,,,,48,12.00,10,5,4,"Land-use change and intensification threaten bee populations worldwide, imperilling pollination services. Global models are needed to better characterise, project, and mitigate bees' responses to these human impacts. The available data are, however, geographically …"
48,"A Bates, B Mood, J Pletcher, H Pruse, M Valafar…","On detecting co-resident cloud instances using network flow watermarking techniques",2014,"International Journal of …","Springer","https://link.springer.com/article/10.1007/s10207-013-0210-0","https://scholar.google.com/scholar?cites=3783568854410440470&as_sdt=2005&sciodt=0,5&hl=en",22,"2020-05-04 20:29:50","","","","",,,,,48,8.00,8,6,6,"Virtualization is the cornerstone of the developing third-party compute industry, allowing cloud providers to instantiate multiple virtual machines (VMs) on a single set of physical resources. Customers utilize cloud resources alongside unknown and untrusted parties …"
44,"LM Olly, AJ Bates, JP Sadler, R Mackay","An initial experimental assessment of the influence of substrate depth on floral assemblage for extensive green roofs",2011,"Urban Forestry & Urban Greening","Elsevier","https://www.sciencedirect.com/science/article/pii/S161886671100063X","https://scholar.google.com/scholar?cites=1244200047548679463&as_sdt=2005&sciodt=0,5&hl=en",21,"2020-05-04 20:29:50","","","","",,,,,44,4.89,11,4,9,"Extensive green roofs have the potential to be used as mitigation tools to compensate for urban habitat loss, but there is little information about how closely these systems emulate ground-based habitats. This study investigated the effect of limited substrate depth on plant …"
43,"D Kumar, R Paccagnella, P Murley…","Skill squatting attacks on amazon alexa",2018,"27th {USENIX} Security …","usenix.org","https://www.usenix.org/conference/usenixsecurity18/presentation/kumar","https://scholar.google.com/scholar?cites=18283464487165386210&as_sdt=2005&sciodt=0,5&hl=en",26,"2020-05-04 20:29:50","","","","",,,,,43,21.50,11,4,2,"The proliferation of the Internet of Things has increased reliance on voice-controlled devices to perform everyday tasks. Although these devices rely on accurate speech recognition for correct functionality, many users experience frequent misinterpretations in normal use. In …"
40,"AJ Bates, JP Sadler, D Grundy, N Lowe, G Davis…","Garden and landscape-scale correlates of moths of differing conservation status: significant effects of urbanization and habitat diversity",2014,"PLoS One","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3903603/","https://scholar.google.com/scholar?cites=4679545344792315024&as_sdt=2005&sciodt=0,5&hl=en",23,"2020-05-04 20:29:50","HTML","","","",,,,,40,6.67,7,6,6,"Moths are abundant and ubiquitous in vegetated terrestrial environments and are pollinators, important herbivores of wild plants, and food for birds, bats and rodents. In recent years, many once abundant and widespread species have shown sharp declines that have …"
37,"A Bates, J Pletcher, T Nichols, B Hollembaek…","Securing SSL certificate verification through dynamic linking",2014,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2660267.2660338","https://scholar.google.com/scholar?cites=8098401213878012116&as_sdt=2005&sciodt=0,5&hl=en",25,"2020-05-04 20:29:50","","","","",,,,,37,6.17,7,5,6,"Recent discoveries of widespread vulnerabilities in the SSL/TLS protocol stack, particular with regard to the verification of server certificates, has left the security of the Internet's communications in doubt. Newly proposed SSL trust enhancements address many of these …"
36,"PJC Donohue, P Calosi, AH Bates, B Laverock…","Impact of exposure to elevated pCO2 on the physiology and behaviour of an important ecosystem engineer, the burrowing shrimp Upogebia deltaura",2012,"Aquatic Biology","int-res.com","https://www.int-res.com/abstracts/ab/v15/n1/p73-86","https://scholar.google.com/scholar?cites=716568363697440879&as_sdt=2005&sciodt=0,5&hl=en",24,"2020-05-04 20:29:50","","","","",,,,,36,4.50,7,5,8,"There is an increasing need to predict the effects of global climate change on ecologically important marine organisms and a demand for proactive solutions to reduce CO 2 emissions. CO 2 sequestration is one such method. While this offers a practical solution …"
34,"WU Hassan, L Aguse, N Aguse, A Bates…","Towards scalable cluster auditing through grammatical inference over provenance graphs",2018,"Network and Distributed …","par.nsf.gov","https://par.nsf.gov/biblio/10047685","https://scholar.google.com/scholar?cites=18357228801252302759&as_sdt=2005&sciodt=0,5&hl=en",29,"2020-05-04 20:29:50","","","","",,,,,34,17.00,7,5,2,"Investigating the nature of system intrusions in large distributed systems remains a notoriously difficult challenge. While monitoring tools (eg, Firewalls, IDS) provide preliminary alerts through easy-to-use administrative interfaces, attack reconstruction still requires that …"
31,"MS Vanderstegen-Drake, PD Gammack…","Vacuum cleaner",2014,"US Patent App. 29 …","Google Patents","https://patents.google.com/patent/USD718911S1/en","https://scholar.google.com/scholar?cites=17043232086427986719&as_sdt=2005&sciodt=0,5&hl=en",27,"2020-05-04 20:29:50","","","","",,,,,31,5.17,10,3,6,"USD718911S1 - Vacuum cleaner - Google Patents. Vacuum cleaner. Download PDF Info. Publication number USD718911S1. USD718911S1 US29/450,789 US201329450789F USD718911S US D718911 S1 USD718911 S1 US D718911S1 US 201329450789 F …"
31,"DJ Tian, N Scaife, A Bates, K Butler…","Making {USB} Great Again with {USBFILTER}",2016,"25th {USENIX} Security …","usenix.org","https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/tian","https://scholar.google.com/scholar?cites=1617922426289467066&as_sdt=2005&sciodt=0,5&hl=en",32,"2020-05-04 20:29:50","","","","",,,,,31,7.75,6,5,4,"USB provides ubiquitous plug-and-play connectivity for a wide range of devices. However, the complex nature of USB obscures the true functionality of devices from the user, and operating systems blindly trust any physically-attached device. This has led to a number of …"
30,"J Dyson, PD Gammack, EJ Heatley-Adams…","Vacuum cleaner",2012,"US Patent App. 29 …","Google Patents","https://patents.google.com/patent/USD657508S1/en","https://scholar.google.com/scholar?cites=9339952919467829133&as_sdt=2005&sciodt=0,5&hl=en",28,"2020-05-04 20:29:50","","","","",,,,,30,3.75,8,4,8,"The said industrial design consists of the shape and configuration of a vacuum cleaner as shown in the drawings; the most novel and distinctive features of the vacuum cleaner are a rolling support for the vacuum cleaner having a barrel-like central section and a pair of …"
29,"AJ Bates, TN Stickney","Cyclonic separating apparatus for a cleaning appliance",2013,"US Patent 8,375,509","Google Patents","https://patents.google.com/patent/US8375509B2/en","https://scholar.google.com/scholar?cites=10644299565660851153&as_sdt=2005&sciodt=0,5&hl=en",30,"2020-05-04 20:29:50","","","","",,,,,29,4.14,15,2,7,"A cyclonic separating apparatus for a cleaning appliance includes a plurality of cyclonic separators arranged in series for separating particles from a dirt-and dust-laden airflow, at least three collectors for collecting separated dirt and dust, and a closure member movable …"
29,"AJ Bates, JP Sadler, G Everett, D Grundy…","Assessing the value of the Garden Moth Scheme citizen science dataset: how does light trap type affect catch?",2013,"Entomologia …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/eea.12038?casa_token=CXRpy7PJ7scAAAAA:ZmF7V6PQfcSHCaBLQkJtyWg-fX8G-L_HDl7_Go-o4En8C2rQQfMU1_dvQDeJFMccR5moM8vriT5NHCdt","https://scholar.google.com/scholar?cites=155982526086387775&as_sdt=2005&sciodt=0,5&hl=en",31,"2020-05-04 20:29:50","","","","",,,,,29,4.14,6,5,7,"Done well, citizen science projects can gather datasets of a size and scope far larger than would be possible using professional researchers. This study uses data gathered in B ritain by the G arden M oth S cheme (GMS). Participants run garden light traps for at least 26 …"
29,"A Bates, KRB Butler, T Moyer","Take only what you need: leveraging mandatory access control policy to reduce provenance storage costs",2015,"7th {USENIX} Workshop on the Theory …","usenix.org","https://www.usenix.org/conference/tapp15/workshop-program/presentation/bates","https://scholar.google.com/scholar?cites=11196299346092583903&as_sdt=2005&sciodt=0,5&hl=en",34,"2020-05-04 20:29:50","","","","",,,,,29,5.80,10,3,5,"When performing automatic provenance collection within the operating system, inevitable storage overheads are made worse by the fact that much of the generated lineage is uninteresting, describing noise and background activities that lie outside the scope the …"
29,"AJ Bates, JP Sadler, JN Perry, AP Fowles","The microspatial distribution of beetles (Coleoptera) on exposed riverine sediments (ERS)",2007,"European Journal of Entomology","eje.cz","http://www.eje.cz/pdfs/eje/2007/03/16.pdf","https://scholar.google.com/scholar?cites=5119983288322701218&as_sdt=2005&sciodt=0,5&hl=en",35,"2020-05-04 20:29:50","PDF","","","",,,,,29,2.23,7,4,13,"Exposed Riverine Sediments (ERS) are often characterised by a high diversity of microhabitats due to strong lateral gradients in temperature, humidity, inundation frequency and availability of aquatic food resources and to variations in the degree of vegetation cover …"
28,"AJ Bates, JP Sadler, AP Fowles","Livestock trampling reduces the conservation value of beetle communities on high quality exposed riverine sediments",2007,"Biodiversity and conservation","Springer","https://link.springer.com/article/10.1007/s10531-006-9028-7","https://scholar.google.com/scholar?cites=14223800782956696760&as_sdt=2005&sciodt=0,5&hl=en",33,"2020-05-04 20:29:50","","","","",,,,,28,2.15,9,3,13,"Exposed riverine sediments (ERS) are habitat for a large number of rare and threatened specialist species of invertebrates and are of considerable conservation importance. Livestock trampling is believed to be one of the most widespread causes of damage to ERS …"
24,"TJ Kerr, CW Hedges, RMB Coulton, AJ Bates…","Hand held appliance",2019,"US Patent …","Google Patents","https://patents.google.com/patent/US10226112B2/en","https://scholar.google.com/scholar?cites=542141265105377519&as_sdt=2005&sciodt=0,5&hl=en",36,"2020-05-04 20:29:50","","","","",,,,,24,24.00,5,5,1,"A hand held appliance including a handle having an outer wall, an inner structure disposed within the outer wall and an end wall extending across the outer wall wherein the end wall is attached to the handle via the inner structure and the end wall extends away from the outer …"
23,"A Bates, R Leonard, H Pruse, D Lowd, KRB Butler","Leveraging USB to Establish Host Identity Using Commodity Devices.",2014,"NDSS","ix.cs.uoregon.edu","http://ix.cs.uoregon.edu/~lowd/Bates_Ndss14.pdf","https://scholar.google.com/scholar?cites=8482981419368917331&as_sdt=2005&sciodt=0,5&hl=en",37,"2020-05-04 20:29:50","PDF","","","",,,,,23,3.83,5,5,6,"Determining a computer's identity is a challenge of critical importance to users wishing to ensure that they are interacting with the correct system; it is also extremely valuable to forensics investigators. However, even hosts that contain trusted computing hardware to …"
23,"J Sadler, A Bates, R Donovan, S Bodnar","Building for biodiversity: accommodating people and wildlife in cities",2011,"Urban Ecology. Patterns, Processes and …","","","https://scholar.google.com/scholar?cites=17974403797633930503&as_sdt=2005&sciodt=0,5&hl=en",39,"2020-05-04 20:29:50","CITATION","","","",,,,,23,2.56,6,4,9,""
22,"PJ Stephens, B Zukina, CJ Tyler, AEV Lim…","Accessory for a hairdryer",2016,"US Patent App. 29 …","Google Patents","https://patents.google.com/patent/USD775419S1/en","https://scholar.google.com/scholar?cites=7770340805389674394&as_sdt=2005&sciodt=0,5&hl=en",38,"2020-05-04 20:29:50","","","","",,,,,22,5.50,4,5,4,"New! Search for patents from more than 100 countries including Australia, Brazil, Sweden and more USD775419S1 - Accessory for a hairdryer - Google Patents. Accessory for a hairdryer. Download PDF Info. Publication number USD775419S1. USD775419S1 …"
22,"J Mu, KB Seydel, A Bates, XZ Su","Recent progress in functional genomic research in Plasmodium falciparum",2010,"Current genomics","ingentaconnect.com","https://www.ingentaconnect.com/content/ben/cg/2010/00000011/00000004/art00006","https://scholar.google.com/scholar?cites=8986189798411710608&as_sdt=2005&sciodt=0,5&hl=en",40,"2020-05-04 20:29:50","","","","",,,,,22,2.20,6,4,10,"With the completion and near completion of many malaria parasite genome-sequencing projects, efforts are now being directed to a better understanding of gene functions and to the discovery of vaccine and drug targets. Inter-and intraspecies comparisons of the parasite …"
21,"B Reaves, E Shernan, A Bates, H Carter…","Boxed out: Blocking cellular interconnect bypass fraud at the network edge",2015,"24th {USENIX} Security …","usenix.org","https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/reaves-boxed","https://scholar.google.com/scholar?cites=1507313495772153483&as_sdt=2005&sciodt=0,5&hl=en",43,"2020-05-04 20:29:50","","","","",,,,,21,4.20,4,5,5,"The high price of incoming international calls is a common method of subsidizing telephony infrastructure in the developing world. Accordingly, international telephone system interconnects are regulated to ensure call quality and accurate billing. High call tariffs create …"
21,"A Bates, J Pletcher, T Nichols, B Hollembaek…","Forced perspectives: Evaluating an SSL trust enhancement at scale",2014,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2663716.2663759","https://scholar.google.com/scholar?cites=6905070391665786097&as_sdt=2005&sciodt=0,5&hl=en",44,"2020-05-04 20:29:50","","","","",,,,,21,3.50,4,5,6,"The certificate authority (CA) PKI system has been used for decades as a means of providing domain identity verification services throughout the Internet, but a growing body of evidence suggests that our trust in this system is misplaced. A recently proposed CA …"
20,"A Bates, WU Hassan, K Butler, A Dobra…","Transparent web service auditing via network provenance functions",2017,"Proceedings of the 26th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3038912.3052640","https://scholar.google.com/scholar?cites=6955665710699725764&as_sdt=2005&sciodt=0,5&hl=en",48,"2020-05-04 20:29:50","","","","",,,,,20,6.67,4,5,3,"Detecting and explaining the nature of attacks in distributed web services is often difficult--determining the nature of suspicious activity requires following the trail of an attacker through a chain of heterogeneous software components including load balancers, proxies …"
19,"MS Vanderstegen-Drake, PD Gammack…","Vacuum cleaner",2016,"US Patent App. 29 …","Google Patents","https://patents.google.com/patent/USD753356S1/en","https://scholar.google.com/scholar?cites=9192134780888209419&as_sdt=2005&sciodt=0,5&hl=en",41,"2020-05-04 20:29:50","","","","",,,,,19,4.75,6,3,4,"(56) References Cited 2012/0023699 A1 2/2012 Shim et al. 2012/0047676 A1 3/2012 Jung et al. US PATENT DOCUMENTS 2012, 0084934 A1 4, 2012 Li 2012/0317744 Al 12/2012 Gilbert, Jr. et al. D659, 920 S 5, 2012 Lee et al. 2012/0317745 A1 12/2012 Jung et al. D661 …"
19,"AJ Bates, R Mackay, RB Greswell, JP Sadler","SWITCH in Birmingham, UK: experimental investigation of the ecological and hydrological performance of extensive green roofs",2009,"Reviews in Environmental …","Springer","https://link.springer.com/article/10.1007/s11157-009-9177-8","https://scholar.google.com/scholar?cites=13148980816700092876&as_sdt=2005&sciodt=0,5&hl=en",42,"2020-05-04 20:29:50","HTML","","","",,,,,19,1.73,5,4,11,"This paper summarises research based in the city of Birmingham, UK, into the ecological and hydrological performance of extensive green roofs designed to act as mitigation for the loss of brownfield habitat. It focuses particularly on possible trade-offs between design …"
19,"SE Henshall, JP Sadler, DM Hannah, AJ Bates","The role of microhabitat and food availability in determining riparian invertebrate distributions on gravel bars: a habitat manipulation experiment",2011,"Ecohydrology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.188?casa_token=7poN7iyEm3EAAAAA:itGie4TEZhQfQKHLlC8DSCb3wEOPwrrdxCq504K0pum4eOTXr_JJ8GBebr6YvAO5Y8qT_S2h5ayEc9P9","https://scholar.google.com/scholar?cites=10978942301480867290&as_sdt=2005&sciodt=0,5&hl=en",45,"2020-05-04 20:29:50","","","","",,,,,19,2.11,5,4,9,"Exposed riverine sediments (ERS) are an important ecotone, where aquatic and terrestrial habitats and species interact. Within an area of ERS, invertebrate species richness tends to be highest along the water's edge ecotone. In this article, we discuss a habitat manipulation …"
18,"S Chen, MG Kaufman, M Bagdasarian, AK Bates…","Development of an efficient expression system for Flavobacterium strains",2010,"Gene","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378111910000648","https://scholar.google.com/scholar?cites=12808842289082338041&as_sdt=2005&sciodt=0,5&hl=en",46,"2020-05-04 20:29:50","","","","",,,,,18,1.80,4,5,10,"Strong promoters were isolated from Flavobacterium johnsoniae in a promoter-trap vector incorporating a gfp reporter system, and were used to express fluorescent protein markers (including GFP, YFP, mOrange and mStrawberry) and insecticidal protein genes in …"
17,"G Grudic, J Mulligan, M Otte, A Bates","Online learning of multiple perceptual models for navigation in unknown terrain",2008,"Field and Service Robotics","Springer","https://link.springer.com/chapter/10.1007/978-3-540-75404-6_39","https://scholar.google.com/scholar?cites=4129530285402821173&as_sdt=2005&sciodt=0,5&hl=en",47,"2020-05-04 20:29:50","","","","",,,,,17,1.42,4,4,12,"Autonomous robots in unknown and unstructured environments must be able to distinguish safe and unsafe terrain in order to navigate effectively. Stereo depth data is effective in the near field, but agents should also be able to observe and learn perceptual models for …"
