Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
123,"A Singla, B Chandrasekaran, PB Godfrey…","The internet at the speed of light",2014,"Proceedings of the 13th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2670518.2673876","https://scholar.google.com/scholar?cites=8149134591027150402&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-05-04 02:51:35","","","","",,,,,123,20.50,31,4,6,"For many Internet services, reducing latency improves the user experience and increases revenue for the service provider. While in principle latencies could nearly match the speed of light, we find that infrastructural inefficiencies and protocol overheads cause today's Internet …"
100,"T Koponen, S Shenker, H Balakrishnan…","Architecting for innovation",2011,"ACM SIGCOMM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2002250.2002256","https://scholar.google.com/scholar?cites=6009638353616066878&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-05-04 02:51:35","","","","",,,,,100,11.11,25,4,9,"We argue that the biggest problem with the current Internet architecture is not a particular functional deficiency, but its inability to accommodate innovation. To address this problem we propose a minimal architectural"" framework"" in which comprehensive architectures can …"
98,"PB Godfrey, D Ratajczak","Naps: scalable, robust topology management in wireless ad hoc networks",2004,"… of the 3rd international symposium on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/984622.984686","https://scholar.google.com/scholar?cites=4777967441428320976&as_sdt=2005&sciodt=0,5&hl=en",13,"2020-05-04 02:51:35","","","","",,,,,98,6.13,49,2,16,"Topology management schemes conserve energy in wireless ad hoc networks by identifying redundant nodes that may turn off their radios or other components while maintaining connectivity. We present Naps, a randomized topology management scheme that does not …"
97,"A Vulimiri, O Michel, PB Godfrey…","More is less: reducing latency via redundancy",2012,"Proceedings of the 11th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2390231.2390234","https://scholar.google.com/scholar?cites=8702807414367988002&as_sdt=2005&sciodt=0,5&hl=en",14,"2020-05-04 02:51:35","","","","",,,,,97,12.13,24,4,8,"Page 1. More is Less: Reducing Latency via Redundancy Ashish Vulimiri UIUC vulimir1@illinois. edu Oliver Michel University of Vienna oliver.michel@univie.ac.at P. Brighten Godfrey UIUC pbg@illinois.edu Scott Shenker UC Berkeley and ICSI shenker@icsi.berkeley.edu ABSTRACT …"
76,"W Zhou, D Jin, J Croft, M Caesar…","Enforcing customizable consistency properties in software-defined networks",2015,"12th {USENIX} Symposium …","usenix.org","https://www.usenix.org/conference/nsdi15/technical-sessions/presentation/zhou","https://scholar.google.com/scholar?cites=11979705164235970691&as_sdt=2005&sciodt=0,5&hl=en",15,"2020-05-04 02:51:35","","","","",,,,,76,15.20,15,5,5,"It is critical to ensure that network policy remains consistent during state transitions. However, existing techniques impose a high cost in update delay, and/or FIB space. We propose the Customizable Consistency Generator (CCG), a fast and generic framework to …"
68,"A Singla, PB Godfrey, K Fall, G Iannaccone…","Scalable routing on flat names",2010,"Proceedings of the 6th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1921168.1921195","https://scholar.google.com/scholar?cites=11375029804238817999&as_sdt=2005&sciodt=0,5&hl=en",16,"2020-05-04 02:51:35","","","","",,,,,68,6.80,14,5,10,"We introduce a protocol which routes on flat, location-independent identifiers with guaranteed scalability and low stretch. Our design builds on theoretical advances in the area of compact routing, and is the first to realize these guarantees in a dynamic distributed …"
59,"S Ghorbani, Z Yang, PB Godfrey, Y Ganjali…","Drill: Micro load balancing for low-latency data center networks",2017,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3098822.3098839","https://scholar.google.com/scholar?cites=9667327866961104982&as_sdt=2005&sciodt=0,5&hl=en",18,"2020-05-04 02:51:35","","","","",,,,,59,19.67,12,5,3,"The trend towards simple datacenter network fabric strips most network functionality, including load balancing, out of the network core and pushes it to the edge. This slows reaction to microbursts, the main culprit of packet loss in datacenters. We investigate the …"
53,"A Singla, PB Godfrey, A Kolla","High throughput data center topology design",2014,"11th {USENIX} Symposium on …","usenix.org","https://www.usenix.org/conference/nsdi14/technical-sessions/presentation/singla","https://scholar.google.com/scholar?cites=1661802246149972324&as_sdt=2005&sciodt=0,5&hl=en",17,"2020-05-04 02:51:35","","","","",,,,,53,8.83,18,3,6,"With high throughput networks acquiring a crucial role in supporting data-intensive applications, a variety of data center network topologies have been proposed to achieve high capacity at low cost. While this work explores a large number of design points, even in …"
52,"SA Jyothi, M Dong, PB Godfrey","Towards a flexible data center fabric with source routing",2015,"Proceedings of the 1st ACM SIGCOMM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2774993.2775005","https://scholar.google.com/scholar?cites=18231146501869729363&as_sdt=2005&sciodt=0,5&hl=en",19,"2020-05-04 02:51:35","","","","",,,,,52,10.40,17,3,5,"An emerging architecture for software-defined data centers andWANs is the network fabric, where complex application-sensitive functions are factored out, leaving the network itself to provide a simple, robust high-performance data delivery abstraction. This requires …"
49,"I Ganichev, B Dai, PB Godfrey, S Shenker","YAMR: Yet another multipath routing protocol",2010,"ACM SIGCOMM Computer …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1880153.1880156","https://scholar.google.com/scholar?cites=3649323062325570321&as_sdt=2005&sciodt=0,5&hl=en",20,"2020-05-04 02:51:35","","","","",,,,,49,4.90,12,4,10,"Multipath routing is a promising technique to increase the Internet's reliability and to give users greater control over the service they receive. However, past proposals choose paths which are not guaranteed to have high diversity. In this paper, we propose yet another …"
49,"W Zhou, Q Li, M Caesar, PB Godfrey","ASAP: A low-latency transport layer",2011,"Proceedings of the Seventh …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2079296.2079316","https://scholar.google.com/scholar?cites=4538653539826602041&as_sdt=2005&sciodt=0,5&hl=en",21,"2020-05-04 02:51:35","","","","",,,,,49,5.44,12,4,9,"For interactive networked applications like web browsing, every round-trip time (RTT) matters. We introduce ASAP, a new naming and transport protocol that reduces latency by shortcutting DNS requests and eliminating TCP's three-way handshake, while ensuring the …"
46,"SA Jyothi, A Singla, PB Godfrey…","Measuring and understanding throughput of network topologies",2016,"SC'16: Proceedings of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7877143/","https://scholar.google.com/scholar?cites=15930373869671477275&as_sdt=2005&sciodt=0,5&hl=en",23,"2020-05-04 02:51:35","","","","",,,,,46,11.50,12,4,4,"High throughput is of particular interest in data center and HPC networks. Although myriad network topologies have been proposed, a broad head-to-head comparison across topologies and across traffic patterns is absent, and the right way to compare worst-case …"
40,"PB Godfrey","Balls and bins with structure: balanced allocations on hypergraphs",2008,"Proceedings of the nineteenth annual ACM-SIAM …","pbg.cs.illinois.edu","http://pbg.cs.illinois.edu/papers/ballsnbins.pdf","https://scholar.google.com/scholar?cites=16374528094073872711&as_sdt=2005&sciodt=0,5&hl=en",22,"2020-05-04 02:51:35","PDF","","","",,,,,40,3.33,40,1,12,"In the standard balls-and-bins model of balanced allocations, m balls are placed sequentially into n bins. Each ball chooses d uniform-random bins and is placed in the least loaded bin. It is well known that when d= logΘ (1) n, after placing m= n balls, the maximum …"
39,"GTK Nguyen, R Agarwal, J Liu, M Caesar…","Slick packets",2011,"ACM SIGMETRICS …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2007116.2007141","https://scholar.google.com/scholar?cites=14373778217794716229&as_sdt=2005&sciodt=0,5&hl=en",24,"2020-05-04 02:51:35","","","","",,,,,39,4.33,8,5,9,"Source-controlled routing has been proposed as a way to improve flexibility of future network architectures, as well as simplifying the data plane. However, if a packet specifies its path, this precludes fast local re-routing within the network. We propose SlickPackets, a …"
36,"AG Dimakis, PB Godfrey, MJ Wainwright…","The benefits of network coding for peer-to-peer storage systems",2007,"Third Workshop on …","pbg.cs.illinois.edu","http://pbg.cs.illinois.edu/papers/coding-netcod07.pdf","https://scholar.google.com/scholar?cites=6167275247701361051&as_sdt=2005&sciodt=0,5&hl=en",25,"2020-05-04 02:51:35","PDF","","","",,,,,36,2.77,9,4,13,"Peer-to-peer distributed storage systems provide reli-able access to data through redundancy spread over nodes across the Internet. A key goal is to minimize the amount of bandwidth used to maintain that redundancy. Storing a file using an erasure code, in …"
34,"R Agarwal, PB Godfrey…","Approximate distance queries and compact routing in sparse graphs",2011,"2011 Proceedings IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5934973/","https://scholar.google.com/scholar?cites=5121037744511971163&as_sdt=2005&sciodt=0,5&hl=en",26,"2020-05-04 02:51:35","","","","",,,,,34,3.78,11,3,9,"An approximate distance query data structure is a compact representation of a graph, and can be queried to approximate shortest paths between any pair of vertices. Any such data structure that retrieves stretch 2k Ω 1 paths must require space Ω (n 1+ 1/k) for graphs of n …"
28,"IN Bozkurt, A Aguirre, B Chandrasekaran…","Why is the internet so slow?!",2017,"… Conference on Passive …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-54328-4_13","https://scholar.google.com/scholar?cites=17390534737845467142&as_sdt=2005&sciodt=0,5&hl=en",27,"2020-05-04 02:51:35","","","","",,,,,28,9.33,7,4,3,"In principle, a network can transfer data at nearly the speed of light. Today's Internet, however, is much slower: our measurements show that latencies are typically more than one, and often more than two orders of magnitude larger than the lower bound implied by …"
23,"R Agarwal, PB Godfrey","Distance oracles for stretch less than 2",2013,"Proceedings of the twenty-fourth annual ACM-SIAM …","SIAM","https://epubs.siam.org/doi/abs/10.1137/1.9781611973105.38","https://scholar.google.com/scholar?cites=15338639844416790344&as_sdt=2005&sciodt=0,5&hl=en",28,"2020-05-04 02:51:35","","","","",,,,,23,3.29,12,2,7,"We present distance oracles for weighted undirected graphs that return distances of stretch less than 2. For the realistic case of sparse graphs, our distance oracles exhibit a smooth three-way trade-off between space, stretch and query time—a phenomenon that does not …"
23,"PB Godfrey, M Schapira, A Zohar…","Incentive compatibility and dynamics of congestion control",2010,"Proceedings of the ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1811039.1811051","https://scholar.google.com/scholar?cites=8134101934277982370&as_sdt=2005&sciodt=0,5&hl=en",29,"2020-05-04 02:51:35","","","","",,,,,23,2.30,6,4,10,"ABSTRACT his paper studies under what conditions congestion control schemes can be both efficient, so that capacity is not wasted, and incentive compatible, so that each participant can maximize its utility by following the prescribed protocol. We show that both …"
16,"Q Li, M Dong, PB Godfrey","Halfback: Running short flows quickly and safely",2015,"Proceedings of the 11th ACM Conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2716281.2836107","https://scholar.google.com/scholar?cites=9614488507031266003&as_sdt=2005&sciodt=0,5&hl=en",30,"2020-05-04 02:51:35","","","","",,,,,16,3.20,5,3,5,"Interactive applications like web browsing are sensitive to latency. Unfortunately, TCP consumes significant time in its start-up phase and loss recovery. Existing sender-side optimizations use more aggressive start-up strategies to reduce latency, but at the same time …"
16,"PB Godfrey, M Caesar, I Haken…","Stabilizing route selection in BGP",2014,"IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6732975/","https://scholar.google.com/scholar?cites=3024253208380953624&as_sdt=2005&sciodt=0,5&hl=en",31,"2020-05-04 02:51:35","","","","",,,,,16,2.67,4,4,6,"Route instability is an important contributor to data plane unreliability on the Internet and also incurs load on the control plane of routers. In this paper, we study how route selection schemes can avoid these changes in routes. Modifying route selection implies a tradeoff …"
12,"S Ghorbani, PB Godfrey","COCONUT: Seamless scale-out of network elements",2017,"… of the Twelfth European Conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3064176.3064201","https://scholar.google.com/scholar?cites=424851681196340342&as_sdt=2005&sciodt=0,5&hl=en",33,"2020-05-04 02:51:35","","","","",,,,,12,4.00,6,2,3,"ABSTRACT A key use of software-defined networking is to enable scale-out of network data plane elements. Naively scaling networking elements, however, can cause incorrect behavior. For example, we show that an IDS system which operates correctly as a single …"
11,"PB Godfrey, M Caesar, I Haken, S Shenker…","Stable Internet route selection",2007,"NANOG40, June","50.31.151.73","http://50.31.151.73/meetings/nanog40/presentations/godfrey-nanog40.pdf","https://scholar.google.com/scholar?cites=14637426880665626445&as_sdt=2005&sciodt=0,5&hl=en",32,"2020-05-04 02:51:35","","","","",,,,,11,0.85,2,5,13,"Page 1. Stable Internet Route Selection Brighten Godfrey Matthew Caesar Ian Haken Scott Shenker Ion Stoica UC Berkeley pbg@cs.berkeley.edu NANOG 40 June 6, 2007 Page 2. BGP instability: trouble CPU cycles update processing uses majority of cycles on some core routers control plane …"
9,"SA Jyothi, A Singla, PB Godfrey, A Kolla","Measuring throughput of data center network topologies",2014,"The 2014 ACM international …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2591971.2592040","https://scholar.google.com/scholar?cites=13075655992474723481&as_sdt=2005&sciodt=0,5&hl=en",34,"2020-05-04 02:51:35","","","","",,,,,9,1.50,2,4,6,"High throughput is a fundamental goal of network design. While myriad network topologies have been proposed to meet this goal, particularly in data center and HPC networking, a consistent and accurate method of evaluating a design's throughput performance and …"
8,"D Bhattacherjee, W Aqeel, IN Bozkurt…","Gearing up for the 21st century space race",2018,"Proceedings of the 17th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3286062.3286079","https://scholar.google.com/scholar?cites=15508748749524597131&as_sdt=2005&sciodt=0,5&hl=en",35,"2020-05-04 02:51:35","","","","",,,,,8,4.00,2,4,2,"ABSTRACT A new space race is imminent, with several industry players working towards satellite-based Internet connectivity. While satellite networks are not themselves new, these recent proposals are aimed at orders of magnitude higher bandwidth and much lower …"
7,"S Prabhu, M Dong, T Meng, PB Godfrey…","Let me rephrase that: Transparent optimization in sdns",2017,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3050220.3050226","https://scholar.google.com/scholar?cites=2771433934453559177&as_sdt=2005&sciodt=0,5&hl=en",36,"2020-05-04 02:51:35","","","","",,,,,7,2.33,1,5,3,"Enterprise networks today have highly diverse correctness requirements and relatively common performance objectives. As a result, preferred abstractions for enterprise networks are those which allow matching correctness specification, while transparently managing …"
5,"PB Godfrey, RM Karp","On the price of heterogeneity in parallel systems",2009,"Theory of Computing Systems","Springer","https://link.springer.com/article/10.1007/s00224-008-9102-5","https://scholar.google.com/scholar?cites=9876577896526756586&as_sdt=2005&sciodt=0,5&hl=en",37,"2020-05-04 02:51:35","","","","",,,,,5,0.45,3,2,11,"Suppose we have a parallel or distributed system whose nodes have limited capacities, such as processing speed, bandwidth, memory, or disk space. How does the performance of the system depend on the amount of heterogeneity of its capacity distribution? We propose a …"
5,"R Agarwal, V Jalaparti, M Caesar…","Guaranteeing BGP stability with a few extra paths",2010,"2010 IEEE 30th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5541711/","https://scholar.google.com/scholar?cites=7263146501567602811&as_sdt=2005&sciodt=0,5&hl=en",38,"2020-05-04 02:51:35","","","","",,,,,5,0.50,1,4,10,"Policy autonomy exercised by Autonomous Systems (ASes) on the Internet can result in persistent oscillations in Border Gateway Protocol, the Internet's inter-domain routing protocol. Current solutions either rely on globally consistent policy assignments, or require …"
3,"CY Hong, M Caesar, PB Godfrey","Software defined transport: Flexible and deployable flow rate control",2014,"Open Networking Summit 2014 …","usenix.org","https://www.usenix.org/conference/ons2014/technical-sessions/presentation/hong","https://scholar.google.com/scholar?cites=3767625842717012072&as_sdt=2005&sciodt=0,5&hl=en",39,"2020-05-04 02:51:35","","","","",,,,,3,0.50,1,3,6,"Datacenters are increasingly expected to provide vital support for modern, data-intensive applications such as data-intensive distributed computing, large graph/matrix computation, and online services. The large variety of cloud applications have demanded a diverse range …"
2,"AG Dimakis; P. Brighten Godfrey; Yunnan Wu; Martin J …","Network coding for distributed storage systems",2010,"","","","https://scholar.google.com/scholar?cites=4414703763637798754&as_sdt=2005&sciodt=0,5&hl=en",40,"2020-05-04 02:51:35","CITATION","","","",,,,,2,0.20,1,2,10,""
2,"PB Godfrey","Hotnets 2012 highlights",2012,"ACM SIGCOMM Computer Communication Review","dl.acm.org","https://dl.acm.org/doi/pdf/10.1145/2427036.2427043","https://scholar.google.com/scholar?cites=3735023467615908867&as_sdt=2005&sciodt=0,5&hl=en",41,"2020-05-04 02:51:35","PDF","","","",,,,,2,0.25,2,1,8,"This article is an editorial note submitted to CCR. It has NOT been peer reviewed. The author takes full responsibility for this article's technical content. Comments can be posted through CCR Online … ABSTRACT This article captures some of the discussion and insights from this year's …"
2,"O Michel, A Vulimiri, PB Godfrey","Adaptive Source Routing",2012,"Poster at the 13th GENI Engineering Conference …","","","https://scholar.google.com/scholar?cites=4095876621574935621&as_sdt=2005&sciodt=0,5&hl=en",42,"2020-05-04 02:51:35","CITATION","","","",,,,,2,0.25,1,3,8,""
2,"A Singla, CY Hong, L Popa, PB Godfrey","April 2012. Jellyfish: Networking Data Centers Randomly",,"NSDI'12","","","https://scholar.google.com/scholar?cites=15995535417847941724&as_sdt=2005&sciodt=0,5&hl=en",43,"2020-05-04 02:51:35","CITATION","","","",,,,,2,0.00,1,4,,""
1,"Q Li, W Zhou, M Caesar, PB Godfrey","ASAP: a low-latency transport layer",2011,"Proceedings of the ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2018436.2018483","https://scholar.google.com/scholar?cites=11338888995774597430&as_sdt=2005&sciodt=0,5&hl=en",44,"2020-05-04 02:51:35","","","","",,,,,1,0.11,0,4,9,"For interactive networked applications like web browsing, every round-trip time (RTT) matters. We introduce ASAP, a new naming and transport protocol that reduces latency by shortcutting DNS requests and eliminating TCP's three-way handshake, while ensuring the …"
1,"R Agarwal, PB Godfrey, S Har-Peled","Approximate distance queries in sparse graphs",2010,"University of Illinois at Urbana …","sarielhp.org","http://sarielhp.org/research/papers/11/sparse_graphs/paper.pdf","https://scholar.google.com/scholar?cites=11575920064529115152&as_sdt=2005&sciodt=0,5&hl=en",45,"2020-05-04 02:51:35","PDF","","","",,,,,1,0.10,0,3,10,"An approximate distance query data structure is a compact representation of a graph. It allows querying for approximate shortest paths between any pair of vertices in the graph. Thorup and Zwick proved that any approximate data structure that allows retrieval of stretch …"
0,"S Abdu Jyothi, A Singla, P Brighten Godfrey, A Kolla","Measuring and Understanding Throughput of Network Topologies",2014,"arXiv preprint arXiv:1402.2531","","","",46,"2020-05-04 02:51:35","CITATION","","","",,,,,0,0.00,0,4,6,""
0,"P Brighten Godfrey","BGP Stability is Precarious",2011,"arXiv preprint arXiv:1108.0192","adsabs.harvard.edu","http://adsabs.harvard.edu/abs/2011arXiv1108.0192B","",47,"2020-05-04 02:51:35","","","","",,,,,0,0.00,0,1,9,"We note a fact which is simple, but may be useful for the networking research community: essentially any change to BGP's decision process can cause divergence---or convergence when BGP would otherwise diverge."
0,"A Singla, B Chandrasekaran, PB Godfrey, B Maggs…","Ankit Singla",,"pdfs.semanticscholar.org","","https://pdfs.semanticscholar.org/cfb3/e36a4b7ddf254099b41429a7e22705f1533a.pdf","",48,"2020-05-04 02:51:35","PDF","","","",,,,,0,0.00,0,5,,"Employment Research Intern, IBM Research, Austin, USA May 2012–Aug 2012 Supervisors: John Carter, Colin Dixon, Wesley Felter I proposed a new deadlock-free routing scheme for commodity Ethernet networks, demonstrating that deadlock-freedom can be achieved with a …"
0,"…, B Chandrasekaran, P Brighten Godfrey…","Dissecting Latency in the Internet's Fiber Infrastructure",2018,"arXiv preprint arXiv …","","","",49,"2020-05-04 02:51:35","CITATION","","","",,,,,0,0.00,0,4,2,""
0,"PB Godfrey, M Caesar, I Haken, Y Singer, S Shenker…","Stabilizing BGP, Safely",2007,"","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.134.3974&rep=rep1&type=pdf","",50,"2020-05-04 02:51:35","PDF","","","",,,,,0,0.00,0,6,13,"Route instability incurs significant load core routers and is widely recognized as a major contributor to data plane unreliability on the Internet. Route flap damping provides some protection against instability, but introduces pathologies and reduces availability. Concerns …"
0,"W Aqeel, D Bhattacherjee, B Chandrasekaran…","Untangling Header Bidding Lore",2020,"… Conference on Passive …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-44081-7_17","",51,"2020-05-04 02:51:35","","","","",,,,,0,0.00,0,4,1,"Header bidding (HB) is a relatively new online advertising technology that allows a content publisher to conduct a client-side (ie, from within the end-user's browser), real-time auction for selling ad slots on a web page. We developed a new browser extension for Chrome and …"
0,"SA Jyothi, SH Hashemi, RH Campbell, PB Godfrey","CadentFlow: An Application-Driven Network Abstraction for the Cloud",,"Network","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/501b/98b83c1943ff5f9b5ea1c8f24af369263664.pdf","",52,"2020-05-04 02:51:35","PDF","","","",,,,,0,0.00,0,4,,"Cloud applications typically have a set of correlated flows between stages of computation. The coflow abstraction, which takes into account this structure, helps improve the performance by enabling collective optimization on the set of related flows. However, an …"
0,"O Michel, A Vulimiri, PB Godfrey, S Shenker","MORE IS LESS-REDUCING LATENCY VIA REDUNDANCY",2013,"","olivermichel.github.io","http://olivermichel.github.io/doc/moreisless-colorado.pdf","",53,"2020-05-04 02:51:35","PDF","","","",,,,,0,0.00,0,4,7,"Page 1. MORE IS LESS - REDUCING LATENCY VIA REDUNDANCY + USING THE GENI MESOSCALE TESTBED FOR NETWORK EXPERIMENTS Invited Talk - University of Colorado at Boulder April 8th, 2013. Oliver Michel University of Vienna Ashish Vulimiri University of Illinois …"
